,Tweet,HS,Abusive
727,USER USER \xc2\xab diem lu buaya.',0,1
743,Monyet beneran mati ini mah:)) USER URL,0,1
758,USER Ayoo ngewe',0,1
760,USER USER USER USER Gak usah sok bijak. Smua mata sdh liat gimana kebobrokan hukum saat ini. Rakyat sdh bisa menilai loh. Gk bego. Kita lihat nanti #2019GantiPresiden',0,1
762,Hooo keliatan mana yg bego sekarang hahaha',0,1
766,USER Hehehe emang kampang fandom itu',0,1
770,ios asw napada ]]',0,1
788,USER USER Kalau gw guna kan kampret kaga bisa ngeliat bro siang hari gimame si lollll',0,1
792,USER Jijik gua cowo2 pake baju pink2\n\nPERNAH GUA NONTON VIDKEP KAN YA. GUA KIRA CEWE. KAKINYA MUNGIL. PAKE KAOS KAKI YANG SEPAHA ITU WARNA PINK. PAKE BAJU PINK YANG PANJANG SAMPE SEPAHA\n\nPAS DIBUKA ISINYA TITIT. ASUUUUU',0,1
794,USER USER USER USER Jancuk \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1
807,"cari yeoja yg chara seksi lonte, suka spam pic charanya, yg mau ngentot. Rep / like ya - draxe'",0,1
815,USER USER Hahahahaha... \nga ada orderan demo.. \nga ada nasi bungkus.. \nga ada perbaikan gizi.. \nTETAP IDIOT..!',0,1
820,"Ava uda jele gaje gini aja kalo ngetweet sa*** tetep rame yak.\nSet dah, emang kntl tu punya kepala tapi ga punya mata.'",0,1
828,USER Kalo sehati cacat dong?: (',0,1
838,"USER Dari ngebunuh musuh, dari ngebunuh minion, dari ngebunuh turtle, dari ngebunuh monster hutan, dari assist, dari ngancurin turret, dll.\n\nAmbil, lu kata ML atm wkwkwkw kampret XD'",0,1
851,RT USER: USER Mereun dititah ku si Gunawan : sia asri ngaku kunyuk jadi aing nu keuna kehed.',0,1
866,USER USER Lu aja pling blum pernah ngewe',0,1
879,kenapaa oh kenapaa diriku brengsek',0,1
886,emang ya anjir kalo ke songgoriti naik motor berdua cewek cowok langsung ditawarin villa.',0,1
898,"Gua sbnrnya paling males bagian yg ini \nHadeh tp kudu ye \n\nBuat admin bangsat gua cuma kenal jirapuncel sama xogentot awalnya orangnya humoris,goblok otaknya setengah,hadeh homoan nih org dua'",0,1
899,"RT USER: Ketika lo lagi jilat vagina si cewek, jilatlah luar dalam vagina dan gigitlah klentit ny, jilatlah vagina sampai dalam agar NI\xe2\x80\xa6'",0,1
900,sinden banci kocak princes aprilia &amp; mimin onggo inggi: URL melalui USER',0,1
904,"USER USER Owwwwh, bokong supirnya besar ya cs mknya sampek duduk di besi? Baru ngeh aku.. hahahahah'",0,1
910,Bandel Juga Ini Kakek \xf0\x9f\xa4\xa3\nUSER USER USER USER\n#bokep #bokepindo #ngentot #bokepasian #crot #bokephot #horny #sange #kontol #boobs #blowjob #milf #blondecum #filmmalam #nontonbokep #bokeponline\nURL,0,1
914,Siapa yg bisa masukin ke google web/blogger/forum/situs dewasa aku kasih bonus\n\n#jablay #abg #lonte #bispak #bugil #naked #toge #puting #jilboob #binal #bisyar #ayamkampus #tantegirang #ngewe #ngentot #porn #naked #bigtits #PascolMania #cocktribute #c,0,1
916,USER Uteknya di silit',0,1
921,"USER USER USER USER Mental itu selalu minta mobil rantis, minta dikawal polisi,. \n\nSayang banget tuh bis ga dilempar molotov ye, kayak di jl gatsu.\n\nmental itu bikin nazar nikah sama monyet ? Terus ? \n\nMental itu ngerusak stadion gbk? Aset negara, \n\nTerus ada yg dapet proyekan dari kementrian, lol'",0,1
923,"RT USER: USER Agamanya sempurna, ummatnha banyak yg pinter kok. Kenapa yg goblok terus yg berani bicara.. hadeh!'",0,1
925,USER Kalo dia mah banyak yang mau bloon',0,1
932,USER 1. Bangsat\n2. Cebong\n3. Kecoak\n4. Bajingan\n5. Taik ayam\n6. Uanjing\n7. Bodat\n8. Cecurut\n9. Borax\n10. Kucirap',0,1
934,USER Aku mau ngentot sama kamu',0,1
946,USER perek doyan di gagahin :*',0,1
953,"USER AHAHAHAHAHA CAPEK.\n\nGua kira video 13 detik dia beneran ngomong, kampret.'",0,1
959,Trs temenku liatkan ke aku ss-an story si istri ini tadi. Si istri curhat habis-habisan dan ngatai si suami ini bajingan + nge-mention akun si suami',0,1
965,USER Sehat om?????klo ga sehat minum kencing onta dulu',0,1
968,"jangan rindu, rindu itu berat..\n\nbiarin ae si kunyuk dilan yang nanggung.'",0,1
969,"Gosip itu dibuat oleh orang iri, disebarkan oleh orang bodoh, dan diterima oleh orang idiot.'",0,1
987,USER kalo aku: bodo amat-in atau ngelakuin hal2 yg disuka buat nge-distract dari pikiran2 begitu',0,1
994,USER USER Kampret yang sebenarnya antek asing.',0,1
1016,Udah tau gue bakal war masalah jubah jubahan. Cukup nyimak aja lah ya KyungSoo sama Taehyung bias gue gimana gue bisa war kampang.',0,1
1025,memek minta di sodok',0,1
1036,RT USER: Siang-siang gini enaknya disepongin sama pecun. URL,0,1
1044,"Kalo jodoh ditangan tuhan, mungkin mantan kita sekarang sedang ditangan setan -_,-'",0,1
1063,USER Itu bukan hamil hahahah gembrot lucu bgt',0,1
1064,USER Professor gini kamu bilang bloon? :)',0,1
1066,"Solo rank di Comeback'n sakit \xf0\x9f\x98\x82\nAne baru tau klo tank takut war \xf0\x9f\x98\x82\n\n#hilda CCd \xf0\x9f\x98\x85\nEmosi bangke \xf0\x9f\x98\x85""",0,1
1070,USER USER udik amat gabisa pecahin balon wkwk',0,1
1079,"Tidak semua laki laki brengsek, tapi laki laki brengsek itu benar benar ada di dunia ini'",0,1
1096,"- Dia sendiri yang ngiklanin promo cashback di appnya\n- Penggunaan kode berhasil tapi cashback ga masuk2\n- Bilangnya ada kesalahan pada sistem dan promo sudah berakhir\n\nBodo amat woy kesalahan sistem bukan urusanku, aku hanya ingin cashback 20% yang dijanjikan olehmu:( USER URL",0,1
1108,USER Mari ngewe',0,1
1109,"USER Aaaamiiiiiiinnnn....\nMudah-mudahan ga ada yang geblek trus riya' posting gaji 13/14 di timeline.""",0,1
1114,"RT USER: Ya, saya bajingan\nTERIMA KASIH'",0,1
1115,"USER wah bisa alay juga lu hyung, gua kira hidup lu nista ternyata alay juga'",0,1
1116,"USER USER Gerombolan pks masih bisa booking pecun di hotel travel, fashion hotel dan area sekitar gunung sahari plus mabes dan sekitarnya. Aleksis mah cuma tumbal buat pencitraan sisanya di amankan sama wan abud'",0,1
1128,"Disebut Norak Dan Kampungan Oleh Nagita Slavina, Ibunda Ayu Ting Ting Doakan Hal Ini! URL",0,1
1133,UDAH GILA YA YANG BIKIN WEBTOON MATAHARI 1/2 LINGKARAN. ITU YANG NIKAH ARKA?!?!?!? wah sinting gue yang nanges',0,1
1134,"RT USER: Tonton,Perhatikan, dan Praktekan Mantap Need stronger bottom like that Anjing parah,, #gayvideo #gayvid #Gvid #gayBandung #g\xe2\x80\xa6'",0,1
1139,RT USER: Bolehkah rindu pada yang kau sebut bajingan sekalipun?',0,1
1159,USER USER Gue semua cerita angst suka sekalipun yg sad ending ampe mewek beneran gue bacanya gembel banget gasih wkwk',0,1
1161,USER Bodo amat!\nGak tertarik titik',0,1
1165,"USER USER USER USER USER USER USER USER USER USER USER USER USER Hanya orang tolol dan idiot yang merasa bahaya kalau dengar kata \xe2\x80\x9chutang\xe2\x80\x9d, dan dijadikan bahan bully pemerintah. Kritik Presiden? Cukup katakan: Pak, jangan sampai Hutang menyebabkan cashflow negara negatif.'",0,1
1187,USER Foto memek nya dong',0,1
1195,USER Edan 3 bulan 14 T',0,1
1202,USER Anjir kata kata guhe',0,1
1205,USER Kalau banci thailand mah cegan dong oppa',0,1
1210,"USER Iyain aja gua, lama-lama kayak orang idiot ngobrol sama lu hyung.'",0,1
1215,USER KOK GUE LIAT INI SIH KAMPRET WKWK',0,1
1217,"USER Aku pawanf monyet, aku pawangnya dia monyetnya'",0,1
1218,USER Bau2 korban cowok yg pinter cakep dan bikin baper dan onta \xf0\x9f\x98\x8c\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1
1221,Nyesel gua upfoll anjir fers nya hilang malah diaudit jd makin turun dr sebelumnya',0,1
1233,"RT USER: Itu lohhh yg dilakuin oppa oppa koriya, tapi banyak yg bilang oppa koriya banci tapi masa banci ikut militeran 2 tahun :) htt\xe2\x80\xa6'",0,1
1252,RT USER: USER Bejad pokonya dah',0,1
1253,"USER USER USER USER Jiaaahh gw aja g kepikiran loh cuma karna warna, kalo sempet ada yg mikir kek gitu, kebangetan idiot nya \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",0,1
1258,USER Nyamuk keparat..',0,1
1268,Apasal laa aku rindu. Eeeee.. Idiot betul laa \xf0\x9f\x98\xad',0,1
1271,RT USER: Drama drama sekarang ending nya kenapa pada bangke gini. Ya #Return lah ya #Misty lah. Gue belum nonton sampe ending tapi da\xe2\x80\xa6',0,1
1288,"USER Entah gue yg geblek apa temen gue yang pinter, gatau deh :('",0,1
1313,USER kirain kamu titit',0,1
1314,"RT USER: Ujan2 ngegodain tukan ojek pengkolan, mau juga ngerojok memek aku, kata si abang drprd pusing ngga ada duit mending buang p\xe2\x80\xa6'",0,1
1318,"Pak tukang buruan pulang pak saya mau mandi, udh kaya gembel cantik ini'",0,1
1327,RT USER: Ngentot enak buat cowok\xe2\x98\xba\xef\xb8\x8f URL,0,1
1328,USER Gamau dia ga maho/?',0,1
1329,RT USER: Sudah tahu dia buaya darat tapi masih saja kau ladeni. Lalu saat dia berpaling kau sebut dia brengsek. Sehat?',0,1
1331,USER USER USER Biarin lbh bagus cungkring drpd gendut bisa autis\xf0\x9f\xa4\xa3\xf0\x9f\x98\x81\xe2\x9c\x8c\n#prabowo2periode',0,1
1341,Merokok akan terlihat keren kalau asapnya keluar dari pantat',0,1
1348,"USER USER Kalo soal harga, gw merasa dungu aja kalo beli starbak, gak mules'",0,1
1349,USER USER Babi jgn diingatkan hahhahah',0,1
1361,"RT USER: Enaknya sama hyper, udah crot lanjut ngentot lagi \xf0\x9f\x92\xa6 URL",0,1
1368,"RT USER: Gda kontol, bunda pke timun aj \xf0\x9f\x92\xa6 USER USER URL",0,1
1372,USER ngomong ama silit',0,1
1380,jablay bgt ga sih gua dijualin',0,1
1388,Hidup kena kerja keras jangan harap kena suap bajingan',0,1
1391,RT USER: kenapa ya dia lucu bgt beda bgt sama yuta si kunyuk URL,0,1
1403,RT USER: Jd kan aku tempat pelampiasan nafsu mu syg... Pepek mami selalu terbuka untuk menyambut kehadiran kontol mu syg https:\xe2\x80\xa6',0,1
1407,"Demi deh gw tuh paling demen sama cowo lawaq \xf0\x9f\x98\x82 \nSungjin,jae(walaupun lawakannya krik) semua member BTOB, lucas, dll......... \nDari pada cowok yg bejat bejat wkwkwk... Kalo ngeliat yg bad boy hanya sekedar main mata asekkk wkwkwk'",0,1
1411,USER pasti berak u mencret mencret doang',0,1
1414,USER USER USER USER USER USER USER ngakak bat jancuk wkwk',0,1
1421,"Kon ngregani aku, aku iso ngregani awakmu kok. Lek kon mbajingi aku, aku yo iso lebih bajingan nang awakmu dik. Tenang ae'",0,1
1426,"USER Ga mau ah, pak rt nya bolot :('",0,1
1435,USER USER USER Metodenya sih kampret bgt \xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1
1444,USER Ga bnyk bacot pdhl',0,1
1465,Mendingan terlihat bajingan tapi hati punya iman. Daripada terlihat rupawan tapi kelakuan kayak preman',0,1
1481,USER USER USER WKWKWKWKWK KAMPANG',0,1
1487,USER USER Babi la terkejut \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,1
1494,"USER Dia budek, buta, dan otak mati jd mungkin sulit. Jangan berharap banyak.'",0,1
1504,USER najis mesum mulu',0,1
1513,Benar benar benar dan benar w duduk sm kvld lg WKAKAKAKAKA MANA MEJA SEPETAK LAGI KAMPANG',0,1
1519,"USER Geblek udah, didatengin polisi baru tau rasa wkwk'",0,1
1525,"twitter logonya burung tapi isinya manusia, anjing, monyet, sama babi.'",0,1
1528,"USER Hahaa baru tau, biasa cuma mentok di cangkem atau cocot ahhahahha'",0,1
1531,"Ada yang gasuka sama aku ? Langung selesaiin bareng aja sini, gausa ngirim setan yg suka sembarangan narok gelas ginilah, pecahkan 3 biji. Aaarrggghhhh'",0,1
1535,Bodoh banget sihh..\nUdah tahu gak bakalan di jawab!\nMalah tanya terus..\xf0\x9f\x98\x93\xf0\x9f\x98\xa5\nBodoh apa goblok itu sodaraan ya.\nYasudah lah.. Nama juga hidup..\nMakasih yaa',0,1
1542,"USER Yuhuuuu \nTemen posko yg jadian 2 pasang lhoh... Tapi yagitu... Keknya anget"" tai ayam \xf0\x9f\x98\x85 \nKalo Mb janah sih&gt; bapernya bikin males skripsian\xf0\x9f\x98\x85, pengennya ngumpul terus ma tmn"" hahaha, not always \'bout love lhoh dek bapernya, lbh ke ""kekeluargaan"" nya \xf0\x9f\x98\x82'",0,1
1554,"RT USER: temanin ines malam ini dong bang, ines sange berat, yang mau hub ines ya +62823-9111-5459 di jamin puas #bispak #janda #meme\xe2\x80\xa6'",0,1
1555,Gue mau retweet video nya tapi sedih dan kasihan... ntar yang ada malah semakin viral dan takut akan lebih banyak org2 idiot yg ngebully mas2 si korban bully dr tmn sesama mahasiswa nya itu yg katanya dr UI. Yg ternama bgt itu. #PrayforMahasiswaUI',0,1
1561,USER USER USER USER Kok baju item disalahin? Bisa jadi itu 2 korban yg nyuruh dia buat dorong atau malah Orang2 tua di situ yg suruh dorong. Ga perlu dikatain bangsad juga bocah yg dorong karena blm tentu murni kesalahan dia.',0,1
1569,USER Vcs yuk tante kontol gede nih',0,1
1576,Ok tdk apaalahh lepasni diam2 jd baik biar diri sndiri yg sakit hati pendam smpai mampus!! Okbaii',0,1
1585,Gue gamau nyindir tapi jadi kesannya jadi nyindir hadeeehhh bego wkwk',0,1
1586,USER Aku pengen jilat memek',0,1
1602,USER ya allah sejak kapan lu jadi babi dek??!!!! \n\ngpp ini maljum..giliran gue jaga lilin',0,1
1610,USER Sini aku jilatin sayang memek mu',0,1
1613,USER ngentod yuk',0,1
1627,RT USER: ngentot Di wc mas yuk URL,0,1
1637,USER Kampret telat deh gua',0,1
1641,USER Ngentod yuk',0,1
1644,Edan pisan',0,1
1645,USER USER USER tai dibls juga pake acc lain\xf0\x9f\x98\x82. jd enak dipanggil hyung',0,1
1660,USER apaan? mau nete?',0,1
1676,"USER Nete yang mana dulu ini, Kak? \xf0\x9f\x8c\x9a\n\nUntung dn-nya bener kalau engga udah Nate tabok :') //""",0,1
1681,Akutu ndabisa kalo kamutu \n\nSssst bacot',0,1
1687,USER Tu gembrot opp mukanya bulet pipi nya offside lehernya ga keliatan WKWK URL,0,1
1691,Bembem paling kampret memang *ngakak sampe besok* \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 URL,0,1
1694,"Pengen juga lagi ngentot diciumin gini, dimanjain gini ahhh idaman bgt topnya URL",0,1
1697,USER tai jijay markojay',0,1
1707,USER halah kampret. baru mau ngirim',0,1
1709,"RT USER: Masa jm 7 an udah mu tidur,, ya aq gangguin terus km..maljum ngentot, jumat malem kudu ngentot lg sama dek nung. URL",0,1
1718,USER Ngentot dong',0,1
1720,USER Cindy mau ngewe',0,1
1723,ccd anjir sinyal',0,1
1727,USER pantat balita mulai bopeng y',0,1
1729,"USER Bravo USER ...buah tak jatuh jauh dari pohonnya. Kl pohonnya baik buahnya baik, kl pohonnya congor buruk...buahnya ?'",0,1
1734,"Gosip itu dibuat oleh orang iri, disebarkan oleh orang bodoh, dan diterima oleh orang idiot\xe2\x80\xa6 URL",0,1
1747,USER Jempolnya kelebihan bacot',0,1
1749,Besok besok kalo agak budek slaahin pentagon',0,1
1755,"USER USER USER Weh gimana ini,bisa gawat citranya ASU....'",0,1
1760,"USER Halah tai. Kacang lupa kulitnya ngatain JYP :""'",0,1
1794,USER Pengen goblog-goblogin tapi masih pagi.',0,1
1808,USER Eh jancuk dimana',0,1
1809,USER baca berulang ulang tetep ga ngerti gara gara libur trus jadi goblog lama lama',0,1
1829,USER USER mereka emang punya masa kelam tapi mereka sinting klo bilang culture mereka bnyk ditiru krn utk membuka luka lama atau menista\xe2\x80\xa6 mksd nya kan sebagian malah appreciate budaya itu\nsure gue ga habis pikir\ngue blok juga lama2 orang2 itu',0,1
1836,USER USER Whahahaahaha mantap tetap pada intinya yaitu ngentod',0,1
1841,RT USER: Ngentot Diatas\nURL,0,1
1842,orang gendut kontolnya kecil mitos apa fakta :P. ada yang fetish latex disini? :P URL,0,1
1850,"USER USER Bapak aku Nor'Azam . Tu Azam gila hahaha""",0,1
1851,USER AAHH WINWEN!! SYIAL KENAPA HARUS LESBI.. MY TYPICAL OF MY GIRL BGT!',0,1
1870,USER USER USER USER Bukan dungu IDIOT setambak',0,1
1875,USER maunya mah gt aw cm ya gmn titit gua kan burik',0,1
1881,RT USER: USER USER kunyuk satu nih yg gua punya wkwkwkk',0,1
1898,"RT USER: #RETWEET \nGak Ada Kontol, Jari Jadi Sasaran ... \xf0\x9f\x92\xa6\n\n#ngentot #kontol #sangeberat #bokepasia #videomesum\n#videobokepgrat\xe2\x80\xa6'",0,1
1899,USER Emang ga ada titit kau apa yg mau dipangkas',0,1
1903,Kekasih dumay\n\n\xf0\x9f\x91\xa6: kalo aku kangen sama kamu gimana\n\xf0\x9f\x91\xa7: sholat\n\xf0\x9f\x91\xa6: terus habis sholat?\n\xf0\x9f\x91\xa7: menyadarkan diri\n Kalau aku cuma hayalanmu\n\xf0\x9f\x91\xa6: hadeuuuuuhhhh kntl',0,1
1906,Hshshshjsjs aiman bodo. Selfie dgn spanar \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',0,1
1912,Memek di gilir anak nct asik kali ya nghh',0,1
1919,USER Enteng banget sih rahangnya tolol-tololin anak orang',0,1
