,Tweet,HS,Abusive
348,USER USER Ahhh itu kan perasaanmu saja utk menghibur diri.. mana ada cebong tdk bahagia.. presiden cebong punya... tol cebong punya... lha elo? Punya cuma germo \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1
352,USER jahudi bangke minta sama jerman sana tempat ibadah',1,1
355,USER Hoax...; Kodok...; Biawak....; meroket...; sekop...; Bangsat...; Karbitan...; Munafik...; ; #2019GantiPresiden; #2019PresidenBaru; ; #2019TenggelamkanJokowiKesungaiSiak,1,1
359,"USER Gak vital gimana?udah dari kapan inter gak punya bek kanan yg bisa jd pembeda, terakhir itu ya era maicon, D'ambrosio juga baru2 setelah kedatangan cancelo bagusnya...\nHmmmm,,,berarti kesimpulannya yg geblek ausilio ini... \xf0\x9f\x98\x81\xf0",1,1
360,USER Namanya jg agama munafik...',1,1
367,"USER Ingat baik-baik kata si royson, ""jokowi kacung gua..!""\n\nItulah mungkin alasan fundamentalnya kenapa rezim ini justru seperti sengaja masuk ke dalam ""Debt Trap"" KOMUNIS CINA!\n\nSo, menjadi wajib untuk #2019GantiPresiden!'",1,1
370,Azan di TV manggil2 Allah SWT dungu & biadab harus dihentikan dan acara catut nama Tuhan tidak boleh dilanjutkan,1,1
371,USER USER USER USER Semua itu terdapat pada kelakuan bani CEBONG....',1,1
375,USER USER Cebong makin kepanasan jadi makin ngawur. \xf0\x9f\x98\x95\xf0\x9f\x98\x95',1,1
382,"perempuan kaya lo mending mati aja deh, jelek aja, gausa sok jadi make up artist!",1,1
389,USER Banci kampungan HEEEE!!!',1,1
396,USER USER Ganti rezim kacung lah.. Cebong mah gitu kalo ditanya',1,1
400,Perjaka kq di jual... \nSok sok an mau booking.. Tante idiot njir..',1,1
401,USER Rev 1: jgn pilih ulama yg DEKAT DG KAFIR dan MUNAFIK',1,1
408,USER Culun mending kampung jes',1,1
415,USER Hah? Wah bangke emang nih truk',1,1
417,"USER Cebong, kampret, dan onta juga ngak bersinggungan dengan laut'",1,1
419,USER USER USER Hahahaha orang gila ngomong cak..??\nMakanya jangan terlalu banyak micin biar otak loe encer cong...\nNgomong ae ngawur muslim kamu itu muslim silit tau...babi.',1,1
424,COPOT Darmin Nasution Menko Perekonomian BODOH yang turunkan daya beli sejak menjabat USER USER,1,1
426,"USER USER Matamu picek, cukk..\nOra delok prestasli pak jokowi..\n\nGuoblokkk..!!\nTolol....!!'",1,1
439,"USER USER USER Umat islam siapa yg ente mksd??\nFPI? HTI? Mrk bkn muslim. Tp penista islam. Bajingan mrk itu. Muslim tdk mgkn berbuat onar. Pengecut lari dr tgg jwb stlh mesum.\nApa2 islam, apa2 islam. Giliran mesum apa itu islam? Berbuat onar itu islam?",1,1
441,Celeng nya bang acon susah bgt dah \xf0\x9f\x98\xa,1,1
442,USER tapi kenapa kamu malah cari musuh! dasar peranakan cebong kampret!',1,1
445,USER USER USER Yang juara ngibul kan junjungan kalian wahai bani kampret 212',1,1
452,Doi tuh native speaker ya.\n\nMother language-nya english.\n\nKomen dijaga dong bangsad',1,1
454,"USER Mungkin mrk slh tulis atau slh sebut aja Bu ... \nMkst nya mungkin CEBONG MUDA KAMPUNGAN , \xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81'",1,1
458,USER USER USER kafir haram jadi pemimpin nyet',1,1
461,"USER USER USER USER Emang perlu pak kyai staquf nyebut suku ras biar mudah dipahami nalar ente yg bahlul, ane tanya ente soal arab yg mana yg ente sembah aja gk bisa jawab, ane sodorin arab bani saud yg pro israel eh ente pura2",1,1
468,Gua daiping mampus lu junedi',1,1
472,"USER Akun Siti Fatimah &amp; yg komen di lamannya, diringkes semua aja...parah &amp; bejat. Memalukan...!!! Bp USER ...semoga sehat selalu, tetap sabar , &amp; semangat terus suarakan kebenaran....'",1,1
473,USER USER USER Bawang putih itu sdg kafir haram lagi..\nHiks.hiks..hiks',1,1
478,USER USER USER USER USER USER USER USER USER USER USER USER USER Komunis kok berabtad PKI? Kecoak makan kecoak dong?',1,1
480,"USER USER mata loee picek ya, yg janji jokowi kok yg d tagih sby.. matamu picek blok \xf0\x9f\x98\x85\xf0\x9f\x98\x85'",1,1
483,USER as clara\n- anak pinter\n- dongo\n- paling koplak\n- cantik tapi idot :(\n- gatau malu \n- urat malu putus\n- butt dia muka nya imut bgt',1,1
485,Presiden paling buruk dalam sejarah bangsa2 cebong',1,1
489,"RT USER: Ku dah padah eh, even kau bodo bulak curang pun dgn ompuan ya. Nya still maok kau. Segal sayang eh. Kau bodo sikpande hrgai\xe2\x80\xa6'",1,1
495,USER USER Biadab tuh oknum aparat keparat',1,1
501,USER USER USER USER Itu dia mata picek... Matanya cuma lihat sebelah...',1,1
503,USER Ha ha kocak ...kalabong emang dungu',1,1
509,"USER Ehhhhh BANDOT USER LU MAU KRITIK PAK JOKOWI AMPE MENCRET DARAH IS OK....\nTPI KLO LU HINA, FITNAH... KAMI AKAN AMBIL TINDAKAN.... \nPAK JOKOWI PRESIDEN !!! PEMIMPIN NEGARA... \nLU PEMIMPIN AGAMA TPI SALAH KAPRAH LUUUU'",1,1
511,Astagfirullah mata gw ternodai \nTerkutuk kau yg ngert bokep \xf0\x9f\x98\xad[]',1,1
513,"USER Kntl ye, apus ga'",1,1
515,USER pergi lo bangkai',1,1
519,RT USER: Ustadz PKS Yudi Widiana nilep duit pk bahasa agama Juz &amp; Liqo Felix Kwetiauw &amp; alumni 212 pd mingkem &amp; pura2 budek..giliran Bu\xe2\x80\xa6',1,1
524,USER ITULAH si ahok kutil babi,1,1
541,Allah SWT yang disembah dungu & biadab ya PERCUMA,1,1
549,"USER najis lo ngedm gajelas dm gue ga dibales bodo amat , gue doain nanti pentas.lo ga menang'",1,1
550,Jd cowo banyak bacot amat si ajg mau gua gampar aja rasanya []',1,1
557,Cie tau ma jokowi ga dapet panggung mulai dah jilat-jilat Prabowo dasar lintah URL,1,1
558,"Barusan dongo dongoin pemotor yg klakson bertubi2 padahal jelas lampu merah. ""Woy dongo! Brisik norak!"" \n\nPas nengok taunya temen SMP (--!)\n\nDia : Chaink?\n\n*aku nangis nganti metu eluh getih puteeeh~'",1,1
563,"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0",1,1
570,USER Kan hebat Ahok bisa memaafkan bini slm 7 thn bukan spt yg ono kabur krn ketauan menalukan ngaku ulama kok kelakuan bejad',1,1
571,"Anda DIDUNGUKAN Islam, Quran mengajarkan AMORAL USER Ansor Sebagai agama, Islam punya posisi moralnya sendiri",1,1
575,USER USER Yang perek kan ibu lo.. gimana sih.. pasti sdh dool ya',1,1
578,USER USER USER Tolol sekali anda ini? Ngaji dimana kau ini kl agama islam sprti itu? Ketahuan ini orang ngajinya sm orang ngk jelas ini?',1,1
582,"USER Cebong di kasih fakta dia bilang dusta, Cebong dikasih dusta dia bilang realita, Cebonger's emang bikin gemes\xf0\x9f\x98\x82""",1,1
583,USER USER Cina kafir ini mah...Bangsat lu!! Dasar Komunis !!',1,1
584,USER USER USER Rakyat kaum bani cebong',1,1
585,"KENAPA GUE NANGIS ANJIR, CUPU LO FIK!'",1,1
589,"Ini orang-orang maha benar nan suci maunya apa sih? \n\nPenghina presiden dilepas karena masih di bawah umur ngeluhnya nggak ditahan karena Cina.\n\nKalau misal ditahan, mungkin ngeluhnya pemerintah mau balik ke orba.\n\nNjuk geleme piye, su?'",1,1
594,RT USER: Eh ada wartawan Selandia Baru Rasa Kampret dan dibuat berita oleh Kampret disebar di WAG. Konferensi Pers tdk dilakukan\xe2\x80\xa6',1,1
598,USER USER USER USER USER biasa bro dia ciri2 cebong adu domba begitu so lugu namanya juga cebong buzzer recehan yg begini\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',1,1
604,napadah shopee kampang',1,1
611,USER USER Cebong tidak akan pernah senang lihat kejayaan pk anis mereka akan ttp sirik. Yg parahnya klu junjungan dipuji habis habisan meskipun melakukan hal buruk.',1,1
612,RT USER: USER Klo busuk mawati beragama islam .. Maka dia Takut dg dirinya sendiri\nGejala gila nich nenek ..',1,1
616,USER berarti lo cacat',1,1
618,USER USER luhut bajingan',1,1
622,Tuhan itu iBlis . Iblis itu Tuhan . Agama onta',1,1
627,NGAKAK! Para barisan cebong sakit hati mau pake isu saracen utk nyerang Anies-Sandi agar gagal dilantik,1,1
628,RT USER USER Prabowo simulut busuk Rizieq anies Fadlizon Fahri mereka kumpulan sampah negara jd kelakuan mereka juga kaya sampah,1,1
635,Cuma manusia otak dungu yg sekarang ini teriak-teriak 'bubarkan pki' buku buat dibaca!! Jgn bodoh! Otak kosong mulut nyap nyap!,1,1
638,USER cebong emang jagonya bikin dan sebar hoax',1,1
645,USER WOI BOLOT',1,1
646,Kenapa USER bicaranya sesuatu yg remeh temeh spt masalah kalajengking krn belio tau oposisinya spt USER itu pasti nyinyir jd stress dan stroke sendiri...krn emang dosen ga laku...bacot gede hasil karya ga ada... bahkan anak asuhnya mayor dungu,1,1
650,"Ajak semua Muslim cari tahu siapa Muhammad sebenarnya, jangan sampai dia enak2 cocok2 penis bangsa ini jadi susah",1,1
651,"USER Eh dungu, ngapain lu masih mensen2 gue, katanya mau muter alun gue.\nLu itu cuma bisa forward berita tanpa analisa.\nKelompok MAHO mana ada yg cerdas wk wk wk'",1,1
652,USER USER USER USER hehe typical bani pekok. ga bs bantah trs danga dungu dah.',1,1
653,"USER USER USER ~improvisasi itu lagu..al Qur'an itu tafsir..masak susah mikir gituan..murotal itu improv..Tilawatil Qur'an itu improv..raut mukamu itu tafsir..cara kentutmu itu tafsir..cara ngentot aja tafsir..cara kawin itu tafsir...ngaji yg bener.!!""",1,1
656,Haruskah aku buat thread jadi TKI dimalaysia dengan jam kerja 16jam? Sebenernya ini kilang memang jahanam betol',1,1
672,USER Giliran ambruk cuma planga plongo kaya ayam kena tetelo ?? USER ; ; #Putin; #PrabowoUntukIndonesia; #2019GantiPresiden,1,1
676,"Jgn ada yg percaya dgn akun ini\n\n\xe2\x9e\xa1 USER \n\xe2\x9e\xa1 WA 081381413774\n\nAwal nya dia ga percaya sy buat\nCAMSEX, trus sy buktikan Vc beberapa detik, pas suruh Tf alesan nya neko2\n\n\xe2\xac\x87Ni muka nya kaya monyet \xe2\xac\x87 URL",1,1
677,"USER USER bicara sains kok nonton youtube, lakukan eksperimen sendiri, jgn nonton youtube yg bisa dimodifikasi sama pembuatnya, hadeh pantes GEblek'",1,1
684,USER USER KAMU LAH HOMO YG PALING SIAL BAJINGAN GOBLOK...KALAU TERLALU GIAN KAMU AMPUT ANJING DITEPI JALAN TU.....SEMOGA KAMU TERIMA BALASAN NYA NANTI...',1,1
687,"USER Udah dmcin ae zon, bilang kampang gitu. kok jadi kesel bgst lah'",1,1
688,USER Alah kntl',1,1
697,USER USER USER USER USER USER USER Cebong itu badut nya China \xf0\x9f\xa4\xaa\xf0\x9f\xa4\xaa\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81 cuma dikipasin sama uang recehan galaknya bukan main\xf0\x,1,1
699,"Yang heran memang, dalam Budaya Indonesia hari ini, orang seperti Arteria, Fahri, Fadli- yg jualannya memang cuma teater- terus menerus juga jadi narsum berita. Yang punya kamera juga jelas memang cuma mencari teater, sengaja dibuat insentif buat monyet.",1,1
705,"Ini orang ga tau Islam, tp belagu dan asbun.; ; Pidato Jokowi udah sesuai ayat Qur'an: Allah tak akan ubah nasib suatu kaum kecuali mrk mengubahnya. ; ; Kalo mau ganti presiden, rakyat sendiri yg harus mengganti. Baru Tuhan mengganti. Kehendak rakyat dulu,",1,1
706,Perasaan kemarin2 pake Axis aman2 aja deh di rumah. Kok 2 minggu ini kacrut kali sih jaringannya -_-*',1,1
708,punya otak? taruh dimana? pasti taruh di congor lo kan?',1,1
709,USER USER Si Terdakwa Penista Agama Alias Si Ahok Babi Jamban tuh yang Morfotin Uang Rakyat Jakarta,1,1
712,"USER Pak USER sebelum Anda menjelaskan, Quran hanya kitab sampah berbahaya, kekacauan terus terjadi",1,1
715,USER Najis sok banget jutek iyuuuh. Gua mau nyanyk aja..',1,1
718,Bubarkan saja tuh DPR sama KPK...sama aja bodoh nya,1,1
722,"USER perpres jkw lebih tegas drpd prepres sby buka matamu liat ,jgn hanya bacot bodoh2in fllwr pak !'",1,1
730,"Anggota DPR ini pamer DUNGU & BIADAB Islam, Quran merintahkan penggal kafir, dia laksanakan, dia bisa bilang HAM",1,1
732,USER bani koplak mana nich kok gak dukung siwanbango bego',1,1
734,Hahahahhahaa silvy ohh silvy cacingan amat loe ahhh wkwkwkwkwkk #DebatFinalPilkadaJKT,1,1
737,"USER mau bukti ke RADIKAL an HTI dan FPI?!; apa kurang bukti di setiap orasi-orasinya HTI dan FPI selalu memfitnah dan caci maki terhadap pemerintah,POLRI bahkan ULAMA'/KYAI-KYAI!!! ; dasar otak bebek pura-pura buta dan tuli dengan isi otak junj",1,1
747,USER Untuk mengedukasi manusya2 udik seperti qm misalnya',1,1
749,"USER USER Tolol...apa hubungannya dgn rumahtangga?urus saja kerjaanmu,gk usah banyak cakap.kamu jadi menteri di PECAT,jd gubernur,malah membuat jakarta semakin gk karuan.sebentar lagi juga hancur tuh jakarta....'",1,1
755,USER NGAKAK NGAPAIN NANYA SAMA GW TAE MINTA DIGAMPAR',1,1
757,USER USER USER Cocot cocot cocot. 2019 bubarin grindra',1,1
763,"USER Wkwkwk, ke trigger jg bani onta'",1,1
764,"Brengsek jg ya mantan gue. One thing bout her yg gue suka, mulutnya emang ga pernah difilter so gue pasti dpt jawaban jujur dr dia'",1,1
772,"USER Jele lo, udik.'",1,1
775,"#IklanAhokJahat baru ada direzim jokopret,setan,iblis,dajjal dibangkitkan dr kuburnya. Mereka gembira berpesta pora setelah lama dibelenggu",1,1
780,USER kaya TAI',1,1
784,"USER USER Si joko pngen ttep populer buat pro-nas d jkt, si ahok jga g mw klah buat jga proyek2 lain d jkt, akhirnya 1 pmbngunan blom slsai tp udh bngun lgi yg lain d ruas2 utama yg sling brdekatan. Skrg cebong guoblok mlah nyalahin ani",1,1
786,MEMANG ANAK ANJING KAMPANG',1,1
787,USER .... bani kampret .... bani kecebong........ pilih bani adam lah...... soale manusia',1,1
789,"RT USER: Hei kunyuk USER, supaya ente paham ya? Prabowo Subianto jadi capres aja udah salah apalagi jadi presiden?! PS mem\xe2\x80\xa6'",1,1
791,USER USER USER USER USER USER USER REZIM SALES REZIM PENIPU PENCITRAAN SEMUA PALSU',1,1
795,kalian ni ngapa sih nyinyirin yg hijrah padahal kan mrk cm maw nutupin koreng',1,1
808,"USER Tiap berkicau makin keliatan tolol dan gobloknya, lbh tolol lg yg milih dia'",1,1
813,USER USER Bong dungu.. Cuma video 31 detik langsung ambil kesimpulan.. Kagak heran dah klo lu d sbut dungu sekolam..',1,1
816,USER USER Ketika generasi tinja sangat bahagia pemimpin nya bisa berkoar koar anti aseng di jaman pilkada dan ketika selesai pilkada pengikutnya membela bahwa tinja nya aseng enak',1,1
821,"USER Hahahahahah babi migraine aku plak tweet, caring betul dkt babi. Ye lahh hg reply tweet aku lepas keluarkan brim td ni. Good timing'",1,1
