,Tweet,HS,Abusive
161,USER USER Buat film muslim pilih ahok mati nggak di sholatin......; dijamin laris ......,1,0
176,"USER USER USER mau menasehati kali supaya ga ugal2an nih rezim.. eh tapi ini negeri sdh keburu ancor..nah skrg saja ekonomi morat marit,, kacaoooooo!!'",1,0
190,"Becak Warga Binjai Hendak Disita karena Gunakan Tenda Bertuliskan #2019GantiPresiden, PKS MERADANG; ; Bukti pemerintah panik dan takut?; ;",1,0
191,lebih baik jokowi mundur..,1,0
195,Oleh rezim skrg atas kendali Negara Cina Komunis yg mjd patron tunggal rezim anti islam ( Jokowi ),1,0
207,RT USER USER betul padahal saracen juga siapa sehingga akun yang kritis dianggap saracen kan aneh jokowi,1,0
218,USER \xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88\xf0\x9f\x99\x88udah ketauan HOAX ya Fahri mangkanye klu ambil berite tuyg update jangan dari tong sampah diambil terus di SS taunya berit udah,1,0
221,USER USER Pantas indonesia mundur dalam segala bentuk,1,0
242,RT USER: Sudah kebuka satu demi satu kebusukab kubu anies sandi yg menang dengan tanpa berkah URL dan Prabowo berusaha cuci tangan,1,0
248,Apa yang terkuak semuanya sudah jelas sejak awal memang itu strategi kampanye kami di tim pemenangan anies sandi URL,1,0
250,Lembaga2 anti-korupsi masa lalu bubar krn sentuh kekuasaan. Giliran KPK kenapa PDIP partai politik penguasa yg plg ngotot ingin bubarkan KPK?,1,0
259,ARTINYA APA ? Pribumi sadari & lihat siapa mereka ? KECUALI KALIAN sama-sama CINA KOMUNIS / MISIONARIS abaikan tweet ini usir cina Indonesia,1,0
260,Presiden yang anda tuduh Rezim anti Islam sudah banyak berbuat untuk Negeri ini sudah bnyak berbuat untuk umat... URL,1,0
262,RT USER Tpi ingat ya. Jangan sampe Cina mengenalkan wisata Haram jga ke indonesia hahaha,1,0
263,RT USER Nanya di mana Prabowo dan PKS saja Bib kan asoy tuh dianggap antek Prabowo dan antek PKS. Hidupmu pasti lebih dramatis,1,0
278,Sementara itu USER kerjanya musuhi dakwah Islam & bubarkan HTI..! Rakyat jg berhak lengserkan jokowok tukang pencitraan!!,1,0
294,RT USER USER USER USER USER USER USER Haha kalah ni yee org jahat pasti kalah,1,0
296,RT USER: USER Yg cinta orba pasti meng idola kan prabowo &amp; hary tanoe :D,1,0
300,Bubarkan HTI &amp; FPI. URL,1,0
301,Ahok memang verbalnya keras. Pelampiasan dan pelarian karena kelelakiannya lunak.,1,0
309,pak USER perlu melanjutkan rencana USER untuk menyeret USER ke pengadilan HAM PBB ! URL,1,0
312,"Penjajahan di atas bumi indonesia harus di hapus kan. Penjajahan ekonomi, budaya, hasil bumi oleh cina harus kita basmi. Demi NKRI. Usir...",1,0
317,Survei di Metro TV Jokowi menang dari Presiden Baru; Etapi cara ngitungnya gimana ya 45% bisa ngalahin 46%; Jangan2 salah judul maksudnya Jokowi Masih Menangis; ; Sumber : Zie Bajrie,1,0
323,Duduki Istana Negara !! Sekalian Lengserkan Jokowi Salam2Tahun USER,1,0
324,RT USER Wah hebatnya pak USER.... Yg lg sibuk pencitraan... USER.. USER.. USER ..USER.... BACA NIH,1,0
327,Indonesia Blom Merdeka Indonesia Masih Dijajah Oleh Orang Cina !!! TakbirAllauakbar URL,1,0
332,"Menurut Wibisono, pencitraan Jokowi telah disebarkan up media massa pro asing, sehingga terkesan Jokowi berhasil.",1,0
334,"USER USER.. Km terlalu mainstream mengaartikan ""pintar"". Pintar itu relatif tergantung mo dibawa kemana pengertiannya. Spt anda pintar meng-undeeestimate-kan org. Gw pinter komen ajah. Rejim now pinter mangkrakin janji2 doang. So...making",1,0
337,USER USER USER USER Gw terpukaukaukau #2019GantiPresiden,1,0
349,"Kami lebih resah anda jd presiden!!!! hidup anda penuh drama dan pencitraan, main FTV aja joko judulnya URL",1,0
351,Budha bunuh muslim di myanmar,1,0
353,PapaMintaKetuaFraksi rakyat mau nya setya novanto keluar dari dpr bukan di pecat dari ketua dpr percuma saya di pecat dan masih ada di dpr,1,0
356,Itu yg pada ribut komunis blabla mungkin emoh baca. Yg baca pun kalo punya niat agitasi nyerang pemerintah pake ini cari simpatisan,1,0
361,43. Contoh lain: meski banyak tudingan dugaan korupsi tapi SBY tdk pernah dorong kejaksaan usut. Apalagi himbau KPK usut dugaan korupsi Jokowi,1,0
363,"Berhenti jadi konsumen wisata Haji & Umoh yg menipu, jadilah podusen wisata jiarah Indonesia",1,0
365,"RT USER USER Yg ada, cacimaki penista agama tapi ternyata ketauan poligami ngumpet2. Apa mau digituin? Saya sih ogah.",1,0
366,USER Bubarin nkri harga mati,1,0
381,Nah..klo PKI alias Partai Korupsi Indonesia perlu diganyang juga ga?,1,0
388,MEWASPADAI CINA KOMUNIS YANG ADA DI INDONESIA!,1,0
397,"cina, apa hak lu melarang?",1,0
398,"Anda hebat bicara cinta masih pegang Quran sbagai pegangan hidup, Quran tak bicara cinta tapi perang, bunuh, penggal",1,0
405,"Segala permasalahan saat ini hanya ada satu solusi #2019GantiPresiden ; Jika pun tdk berdampak signifikan,sekurang?nya kita telah mengobati dan mencegah penyakit ini bertambah parah.",1,0
420,"USER USER USER USER USER USER USER USER USER USER USER Coba ngaca n introspeksi,apakah keluarga anda yg gak pake hijab komunis jga?,otak dipakai jgn cmn jd property or pa",1,0
427,"Berhasil Penjarakan Ahok, Alumni 212 Pendukung Rizieq Akan Lengserkan Jokowi Usai Lebaran",1,0
438,"USER USER Bersabar, berdoa, usaha, ikhtiar... Mudah-mudahan bentar lagi #2019GantiPresiden gak pake contekan, gak pake planga-plongo... ?",1,0
444,"Cie ni akun berhasil membodohi kaum 212, yg bikin kaum-kaumnya sendiri biar dikata Jokowi ANTI ISLAM, wkwkwk :)",1,0
447,USER Tanya amin rais.. Dulu dia yg bikin kacau dan nyuruh reformasi. Pilkada salah satu hasilnya.,1,0
448,Fahri Hamzah: Kalau Saya Jadi Presiden KPK Akan Saya Bubarkan URL,1,0
466,RT USER Bubarkan DPR BUBARKAN.. SAVEKPK,1,0
469,RT USER: Suciwati: Revolusi Mental Jokowi Omong Kosong/Bualan. Jika Setuju RT &amp; Comment URL,1,0
471,USER Jangan jangan otak makelar penjual asset negara apa maling asset negara ? \xf0\x9f\x91\x89USER pertamina di jual mau di isi TKA dari Tiongkok \xe2\x9d\x93#2019GantiPresiden \nURL,1,0
474,Setuju ahokers lengserkan ke prabon jokowi daripada ancurin penjara ga karuan.. URL,1,0
499,Wuakkakaa.. mampuss!! ga salah gue diblock dia sejak jaman Jokowi Ahok nyagub. Gaya lo toong.. toong.. Anies sandi URL,1,0
510,"Kita balas di sini gima kita usir budha ""USER: Kurang Ajar, Etnis Muslim Rohingya Disingkirkan dari Data Sensus Penduduk Myanmar",1,0
518,Aamiin ya rabb.. Tolong USER Indonesia ya Alah dgn yg lebiiihhhh baik..,1,0
522,"Yang kita bela adl Pancasila dan Kedaulatan Negara. Kalau USER tidak mendukung, maka LENGSERKAN SAJA!!... Saat ini Ancaman sudah Nyata!!.",1,0
523,"PROYEK SARACEN UTK GANJAL PELANTIKAN ANIES MSH TERUUS.... Temuan Baru Kasus Saracen, Ada Foto Tokoh partai politik",1,0
526,Hajar ndan.. ganyang PKI URL,1,0
528,Pak jokowi kasian jg goregan PBB,1,0
531,Kapolri USER harusnya mundur dari jabatannya...,1,0
537,RT USER USER USER Baru 3tahun dah segitu ya bentar lagi lewat utang sby njiiieng,1,0
538,"USER Mungkin masih banyak masyarakat tionghoa yg lebih pancasialis dr pada wong jowo cm nggak terekpos aja, contoh nyata pak kwik ekonom dan ustadz felix siauw \xf0\x9f\x98\x85'",1,0
540,Negara kayak menipu bocah SD aje.. Dokumennya hilang ... Fuih..,1,0
542,RT USER ogah prabowo+pak gatot baru ok,1,0
552,"#ILCBoedionoCentury ketika ini terjadi, saya ikuti kasus ini cukup intens. Meski sekarang agak lupa...; Tapi kuncinya kita cuma butuh 2019 Ganti Presiden! Itu...",1,0
553,Maju Gubernurnya Sengsara Relawannya,1,0
556,RT USER: Copras calon presiden.. Ndak mikir.. Ndak mikirrrr... (Ndak mikir apa si kowi 1 periode aja babak belur..) URL,1,0
562,Kalau nggak mau dengar Ulama dan tetap ngotot kriminalisasi ulama yaa kita lengserkan aja Jokowi,1,0
564,Cina lg.. cina lg.. sebaiknya di usir aj ya? merusak sih kerjaannya,1,0
565,USER Ayoh bangsa indonesia bersihkan etnis cina ahok,1,0
569,RT USER Nggak ikut dukung calon presiden tapi sukanya ngatur Jokowi kenapa gak Prabowo aja yg diatur supaya menang dalam pemilihan presiden 2019.,1,0
574,yg jelas-jelas masih hidup itu prabowo anak soemitro pengkhianat bangsa,1,0
576,RT USER USER USER Pilih presiden yg jelas orang tua nya yang bukan pengkhianat negara,1,0
577,Ga apa sih Ahok prnh diblng penista agama tp ga kek politikus koruptor dipanggil urusan hukum ngeles pake sakit hati-hati ntar keterusan mati.,1,0
590,Ga salah memang USER &amp; USER bilang antek Aseng tapi adiknya Prabowo bilang Prabowo pro Amerika. URL,1,0
595,USER USER USER USER USER Pencitraan Lu...ah.......Prabowo msh tidur.....,1,0
601,RT USER Prabowo sdh tua perlu generasi muda yg bisa blusukan dan Jokowi msh muda dan saat ini sering blusukan diberbagai pulau,1,0
606,lu baca bandingkan modal dgn hasil diperpanjang atau tidak dasar antek asing,1,0
624,RT USER USER Para jendral propaganda mereka perang propaganda dgn jualan utamanya pki dan cinaisasi..,1,0
640,Setelah kasus PKI di LBH rame-rame antek komunis membuat opini dan steitmen mengaburkan kebangkitan PKI,1,0
655,USER USER Yang panik itu yang mau ganti presiden tapi g tau calonnya siapa! Ups mungkin karena g bisa berbuat banyak!!!!! Karena dibawah kepemimpinan pak USER banyak koruptor tertangkap!!! Jadi mau ganti presiden!!! Siapa tau bisa di nego!!,1,0
657,.; Ekonomi : hancur; Subsidi : dicabut; BBM : mahal; Listrik : naik tdk karuan; Sembako : tak terjangkau rakyat; Politik : kisruh terus; Agama : dinistakan terus; Kebijakan : tdk pro rakyat; HAM : terbengkalai; Leadership : LEMAH; ; Dua periode?,1,0
658,USER USER Dan Indonesia harus menghormati AS!!\n\nNtu sape nyang kemaren ngomong begitu??\nWahhh dr roman2nye pasti antek ASING tuh',1,0
659,"Bersiap usir sepasang= ASING-CINA,, USER USER USER USER USER USER USER SelamatkenHutan",1,0
662,USER USER USER USER Pencipta hoaxs ya presiden dan wakilnya',1,0
664,Muncul sudah antek antek PKI dah berani muncul terang-terangan mudah-mudah pemerintah tidak tinggal diam. URL,1,0
671,Bagaimana perasaan walubi kalo umat budha di indonesia yg di usir dan di bantai???,1,0
675,USER USER USER Lu nyindir pak de? ?. #2019GantiPresiden,1,0
681,"Jokowi sudah menyerah saatnya gantikan Jokowi, lengserkan jokowi qishosjokowi URL",1,0
682,"USER Nasdem itu sudah jadi bahan tertawaan anak kecil seluruh Indonesia. Omongan kader2nya asbun. Yg mau jadi cawapres Jokowi itu cuma khayalan kader2 partai. Rakyat ga ada yg peduli, kecuali #2019GantiPresiden",1,0
692,USER Bubarkan saja kpk biar leluasa para koruptor memperkaya diri di Negri ini,1,0
693,"USER USER USER Susah bang, jawa uda dipegang jokowi, antek dia semua, sedihhh sih'",1,0
694,USER Cuma rezim ini org kaya dia berani tampil di layar kaca. Mohon segera ambil tindakan USER USER,1,0
695,RT USER mmg otoriter! Buktinya USER selalu OTT? Pdhal dri partai politiknya sendiri byk ya? USER & USER Ditangkap smua?,1,0
698,"Apakah berkat solat dan mengaji atau berkat belajar ilmu yang dikembangkan para kafir, Pak Lukman?",1,0
701,"Kok cuma cina non muslim yg dibantai? Tuh si USER jg cina, usir jg dong.",1,0
725,"#TolakPerpresTKA; #TolakPerpresTKA; #2019GantiPresiden; #2019PresidenBaru; ; Hai mahasiswa Indonesia, nih ada hadiah lipstik dan kolor untuk kalian dari seorang kakek tukang beca",1,0
731,Penghina Keluarga Jokowi Langsung Diciduk Giliran Penghina Prabowo SBY dibiarin aja,1,0
740,Bahas Islam merusak nilai USER penguatan karakter melalui revitalisasi pendidikan nilai,1,0
741,bagus....nanti dipakai untuk petisi lengserkan Jokowi ya KembalikanAhokKeCipinang,1,0
742,RT USER Semoga dimasa depan etnis cina di Indonesia tetap tdk menduduki pemerintahan.. bisa jadi kayak Singapur :),1,0
746,RT USER Mungkin kata USER: yg dilakukan Raja Salman hanya pencitraan,1,0
752,Nih ya gue jelasin. \n\nCowo. Burungnya gaada. Jadi cewe. Cewenya bernada2. \n\nSIAPA LAGI TRANSGENDER DI INDONESIA YG NYANYI? URL,1,0
753,USER USER Indonesia sedang di jajah cina...,1,0
754,RT USER Bubarkan DPR gak butuh,1,0
761,RT USER: USER Burma dan Budha memang teroris sebenarnya,1,0
771,USER Yaudah gwe mau demo minta pak Jokowi ngekick palkjihun dari dunia.,1,0
773,USER Sy jg muak sm lu yg fitnah prabowo,1,0
776,"USER Maraknya org\xc2\xb2 sipit masuk ke Indonesia hanya pengalihan. Hati\xc2\xb2lah justru kepada Syi'ah rafidhah, biang keroknya segala pemberontakan/kudeta negara\xc2\xb2 muslim ahlussunah di dunia""",1,0
782,RT USER Juga jago bakar isu PKI Komunis,1,0
793,"USER Sungguh""rezim KOPLAK..indonesia sedang sekarat..umat muslim sdg di pilah""oleh Allah SWT..antara golongan muslimin dan munafiqun.",1,0
796,RT USER pakai paksa-paksa jokowi balikin semua penduduk rakhin. Emang prabowo pengangguran. Banyak politikus nganggur jadi omongnya ngawur,1,0
801,Jokowi USER Adalah Ahok Yang Tertunda siap-siap dipenjara juga ya pak URL,1,0
803,Mengapa menggunakan bahasa Arab? Bukankah Tuhan YME menurut Pancasila berbahasa Indonesia?,1,0
805,Pantesan tim sukses Anies-Sandi ini kalo ngetwit ngaco sok jagoan,1,0
817,USER Betul..anak anak PKI mulai muncul mengikuti jejak bapaknya.,1,0
826,RT USER makin lama bikin puyeng kepala itu pak prabowo sama amin rais itu om nada-nada bicaranya nggak bermutu.sama sekali,1,0
827,USER USER ganyang pki. mari kita dukung prabowo untuk 2019,1,0
833,"USER Pak USER membuang Islam bisa jadi menyakitkan, tapi harus dilakukan demi kebaikan semua manusia",1,0
834,USER USER Etnis cina memang ada yg ikut berjuang tapi lebih sangat banyak yg jadi penghianat jd antek belanda..,1,0
853,Betul itu kelihatannya JK mau main belakang lengserkan jokowi klo berhasil kan dia yg naik gantikan jd presiden seperti pak Harto diganti habibie,1,0
854,"Dulu, tanpa sosmed pun Presiden Soeharto bisa di lengserkan. Apalagi Bapak Jokowi",1,0
857,"Buat pak USER USER ,ambisi kekuasaan boleh dan sah2 sj,masa pak USER dibilang otoriter sih?. URL",1,0
858,ehem USER ... kayaknya sudah saatnya di turunkan pakde USER nih. akal sehatnya ga jalan,1,0
861,"USER Setelah itu aset negara dijual semua ya pak Ruhut, hebat bener!! Krn itu impor pangan merajalela, BBM naik membabi-buta, 10jt lowongan kerja buat Aseng, itulah hebatnya pak Joko Widodo, bikin rakyat dan negara semakin sengsara. Hancur suda",1,0
867,"Prof. Jeffrey Winters: Jokowi Presiden Terlemah dalam Sejarah Indonesia ; ; Anisa dan Pembahasan Prof Jeffrey Winters ini bagus, walau ini anlisa 2015 lalu, tapi yg menjadi pembahasannya akrg byk yg terjadi.; #2019GantiPresiden; ;",1,0
885,RT USER USER USER USER USER Prabowo sangat layak jadi calon presiden tapi sangat tidak layak jadi presiden,1,0
887,JKW ERA: Percuma pembangunan duit utang semua..,1,0
889,RT USER: USER USER USER Klop prabowo pemberontak sekaligus koruptor.,1,0
892,Nanti ada baju Muslim bertuliskan:; ; #2019GantiPresiden; #2019PrabowoPresiden,1,0
911,RT USER USER Jadi dukung koruptor! Bubarkan kpk. Pantesan... dari situlah issue issue pki keluar. Dasar koruptor,1,0
913,USER USER TKA Cina memang dimanja....',1,0
917,Hanya orang bodoh jika beropini bahwa PKI tdk bangkit.presiden cuma pinter akting & pencitraan.Intelijen TNI yg bicara adanya PKI bangkit.,1,0
918,RT USER: USER jangan sampai Indonesia diambil alih sama cina... Apa perlu kita semua BoikotProdukChina ???,1,0
942,Besok kalau Prabowo nyapres lagi dan teriak-teriak masalah ketimpangan jangan dipercaya. Dia aja ngatain wartawan gaji kecil kok,1,0
949,maksutnya kelas bawah hrs diem gk boleh bicara ya Pak USER itu namanya otoriter,1,0
956,Soal Munir juga ada kaitannya dengan mengapa Rezim Jokowi sangat anti Islam. Setelah saya twitkan semoga menjadi jelas sejelasnya.,1,0
964,RT USER Ngawur...sembarang aja Pansus hanya menghambat KPK utk penyelidikan teman2nya yg koruptor bubarkan DPR yg sarang koruptor,1,0
966,RT USER :kirim bantuan pencitraan,1,0
973,"USER USER Cari simpati ummat muslim jabar buat pilpres 2019...; Mudah""an ulama &amp; ummat islam jabar tidak terkesima &amp; terpengaruh dg trik dan gaya kemunafikannya si mukidi...",1,0
974,"RT USER: yg nebar kebencian itu ahok mbak,masa mbak gak tau sih sampai dia jadi terdakwa loh USER",1,0
977,"Jika tidak ada demo berjilid-jilid atas pernyataan USER soal kitab suci adalah fiksi, maka hampir bisa dipastikan tujuan utama gerakan ""Bela Islam"" berjilid-jilid versi 212 dst adalah motif politik untuk menjatuhkan Ahok. Ahok telah menjadi korban.",1,0
984,"Betul. SBY secara objektif lebih mumpuni. Politisi Indonesia terhebat saat ini. Ga kayak jokowi, ga pantes jadi presiden URL",1,0
988,Nama: Jonru Ginting Status: Terlapor Kasus: Ujaran Kebencian (diduga) Mendukung Anies-Sandi,1,0
991,"Setuju,,,klo tdk mau kita usir seluruh budha yg di indonesia...",1,0
992,"Anda menghina Islam, Muhammad tidak tahu budi terhadap sukunya sendiri, mengajar solat minta pahala dari Allah SWT",1,0
993,BUBARKAN ILUNI UI,1,0
1000,"USER Blm jd gub aja sdh nabrak etika, gmn kl menjabat? Emg yg lantik dia kl jd gub dukun ya ato capres? Kl ga seneng sm presiden yg menjabat ya jgn mau dilantik sm beliau jd jgn jd cagub skr, ntar aja kl yg dia dukung sdh jd presiden br nyagub..'",1,0
1002,"Seriuus neh berita ??? Polisi mau ikutan politik... Kok braninya ama tukang becak... Emang dia doang yg pakek... Dah mulai ketakutan yaa.. ""power syndrome melanda istana"" vs tukang becak. USER USER USER USER USER",1,0
1004,Prabowo Subianto Tak Restui Ketua Gerindra Jateng Maju Pilgub Ini Alasannya URL,1,0
1015,USER jokowi yg mundur lebih pas!!!,1,0
1042,Ayat ini juga dikaji: penggallah kepala dan pancunglah tiap2 ujung jari mereka (8:12),1,0
1043,"USER USER USER Bak sampah jerman sdh anis diresmikan, blm? Wc keliling gunting pitanya ya, nis.'",1,0
1047,Seandainya Jend. Suharto tidak ada di tahun 1965 nasib bangsa indonesia bisa menjadi negara komunis ateis USER USER USER,1,0
1049,RT USER: Lawan Politik Mulai Tebar Fitnah Ada Upaya Jegal Prabowo Maju di pemilihan presiden 2019 URL,1,0
1051,RT USER: Kapan USER bikin film bakar2 Sekolahan buat pencitraan pak USER URL,1,0
1056,"RT USER: hati-hati kalian orang-orang dan kader GUSDUR yg pribumi antek CINA yg dipasang di rezim ini Lagi sedang ""ngepret"" saat ini.",1,0
1057,Kenapa #2019GantiPresiden ?; ; ?Karena Pengangguran Meningkat?,1,0
1082,USER lebih unik bapak lo dari pada jokowi,1,0
1087,Lagi! Isu kemanusiaan Rohingya membuktikan ketidakcermatan USER dan Tim dalam mengelola sebuah isu.,1,0
1093,"Aki"" Amien Rais blg prabowo sm dgn bung karno ?sma drmn bung karno mempersatukan suku agama ras pulau NKRI wowo mlh mmcah belah dsr mabok aki",1,0
1099,"Berbagai cara dilakukan rezim jokowi (baca: rezim SBY jilid 3) untuk meraih dukungan Republiken. Isu Islam Radikal, terorisme Islam, ancaman ISIS, Islam Nusantara, LGBT dll digoreng untuk meyakinkan Republiken AS bahwa presiden RI mendatang tetap di tang",1,0
1112,PemikiranDuaArahRiskanDiHantamMasalahKaRenaPosisinyaDitengahSebagaiPenyeImbangBiLaTerLaluCondongHabisLahSudah... *KaLauHiTamKatakanHitamBegituPuLaSebaliknya #2019GantiPresiden,1,0
1113,RT USER USER September perang PKI Desember perang topi santa gitu aja terus sampai prabowo jd mentri peranan wanita.,1,0
1119,Luar Biasa hingga kebijakan Indonesia tdk boleh bertentangan dgn kepentingan Cina,1,0
1125,Apa usir saja budha myanmar disini supaya tidak buat kacau seperti di myanmar?,1,0
1130,USER Inikan rezim anti Islam yah jd kita kudu ngertilah,1,0
1131,kalau USER provokasi lengeserkan Jokowi..gue ikut juga mau lengserkan Jusuf Kalla. ..biar adil biar rame.. JK tamak.,1,0
1138,"Jika ahok bebas, ULAMA, kemungkinan akan bisa memberi komando revolusi lengserkan jokowi*_ Sumber Dari:_URL",1,0
1140,Selamat di atas penderitaan orang lain ? Hih. URL,1,0
1143,budha membantai muslim rohingya,1,0
1146,USER pendusta itu pemimpin agama kristen gitu ya teh?,1,0
1149,RT USER USER Kartu kredit gak punya tpi Utangan Negara Banyak,1,0
1158,"USER USER USER USER USER USER USER USER USER USER USER Yg gak pake jilbab komunis? Megawati, sri mulyani, puan maharani lo sebut apa?\n\nMo ngetwit pinter dl ya tong...'",1,0
1164,RT USER Apa pak Jokowi gak punya staf ahli khusus mempertahankan aset nasional? Terlalu.... diktator jomblo lokal,1,0
1167,Makin masif saja para cina dan antek komunis URL,1,0
1172,"USER Pak USER proses buang Islam tak boleh main paksa, tapi harus dilakukan dengan kesadaran sendiri",1,0
1173,Ahok harus Tamat penjarakan ahok penjarakan ahok,1,0
1174,Isu pki terus di hembuskan grup grup pendukung prabowo,1,0
1175,"Pak USER tolonglah. Ajak buzzer"" bapak untuk jadi lebih pinter. Bukan anggar jago menghina orang"" yg ngga suka. Pake lapor"" polisi. Duh!",1,0
1176,"Belum dijelaskan, haji adalah penipuan? Ibrahim tak mungkin dikubur di Kabah, Anda biarkan rakyat ditipu Pak Lukman?",1,0
1177,RT USER Sinting kah km ini bos yg mo bubarkan kpk siapa klo bkn km dan orang-orangmu,1,0
1180,USER USER Ya..ttp aj waspada..!!Antek komunis itu pintr kamuflase..,1,0
1183,"apapun masalah nya , muara nya tanggung jawab Presiden.. solusi dari solusi terbaik.. Turunkan jokowi...!!",1,0
1188,"USER Jika ada tokoh agama, Lalu berpolitik praktis untuk jabatan2 publik?, Dengan menggunakan identitas keagamaan?. ?. Itu di lingkungan agama Budha, Ibaratkan ada yang mengaku biksu, Tetapi makan daging iya, Minum miras pun iya, Bahkan berkeluarga",1,0
1190,USER Ayo dah dukung penuh 1.000%; Yg jelas #2019GantiPresiden,1,0
1200,RT USER Antek PKI dan simpatisannya juga proxy cina komunis pasti sangat membenci TNI dan Panglimanya. Wajar seekali merek,1,0
1211,USER Bukan nya elu dan gerombolan elu malah lebih sering menghina Presiden?? Mestinya lu duluan Yg diproses..',1,0
1219,kapan kita mulai lengserkan jokowi frop ?itu udh lebih parah frop USER,1,0
1224,Usai Dibebaskan Pengadilan Ust. Alfian Tanjung Langsung Ditangkap Lagi. Dimana keadilan? URL URL,1,0
1232,Semoga Allah segera menghancurleburkan kafir Budha teroris yang telah menzalimi kaum Muslim Rohingya.,1,0
1236,RT USER USER Zaman pak SBY antek-antek PKI tdk merajalela mengganas seperti masa sekarang.,1,0
1237,RT USER: CSIS pembohong jangan harp menang 2019 cuih URL,1,0
1240,MUNDUR dari sekarang pak Gatot &amp; bersaing sehat dgn Pk Jokowi,1,0
1249,Sekjen PBB keknya bagian dari Saracen.. :-),1,0
1250,Saya suka video USER URL 'AHOK BEBAS' Anies Makin Terpuruk &amp; Terancam Gagal Jadi Gubernur Jika Sandi RESMI,1,0
1256,Sy yakin klo rakyat di suruh mmilih spa harus di bubarkan psti nya DPR yg hrs di bubarkan ! wlo ga ssuai kntitusi URL,1,0
1277,RT USER: USER USER Anak pemberontak tak layak jadi apa-apa di negeri ini.,1,0
1294,Bro USER jgn lupa dijenguk! Gara-gara asma dewi lo menang kan,1,0
1300,"paling agendanya jg sama,tema boleh beda,tujuan ttp sama turunkan USER ,mau nya diperalat politik dgn kemasan agama",1,0
1301,"Dulu para pahlawan berjuang susah payah, korban jiwa raga utk usir penjajah. Eh..skrg koq kita biarkan negeri ini dijajah cina dgn mudahnya ?!",1,0
1307,USER USER USER USER Anies sandi gk bakal berani ...yakiinn,1,0
1310,RT USER USER Dan hebat nya GK ada yg teriak antek cina,1,0
1324,Ahok calonin gubernur *siap-siap demo*,1,0
1333,"USER Ayooo serbuuu... persekusii... \n\nHina presiden boleh, hina ulama TGB kyai said quraish shihab boleh, hina rijik persekusi... emang rijik nabi?'",1,0
1352,USER USER Mulai kepanasan PKI,1,0
1353,Mari siap-siap untuk bubarkan DPR USER URL,1,0
1362,USER Lg bisnis biarin aja yg pting 2019ganti presiden yg amanah seswe janji..gmgnya gk impor malah serba impor.petani negri sendiri gigit jari. ampun deh',1,0
1373,"PRESIDEN DIHINA. Kapolri, Menkumham, Mendikbud, Menhan, Abu Janda, Anshor, Banser. Semua terdiam. Ajaib.'",1,0
