Tweet,HS,Abusive,Char_Length,Casefolding
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm",0,0,138, sy sbg muslim tdk merasa pak menistakan kitab suci alqur an krn dlm alqur an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam tp kami yakini kata tsb ada makna yg tersirat fiksi yg blm
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""",0,0,246,bentar lagi gua rilis album the onta s wkwkwkwkwk 
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k",0,0,219, hkbp berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik nterjadilah perpecahan dan berdirilah hkbp yg p ama kali di tarutung n nnah skrg anda sy k
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?",0,0,98,ha ha banyak baca biar pintar jepang amerika china utang sama siapa anda tau enggak 
USER USER dan yang takut dengan adzan adalah IBLIS',0,0,169, dan yang takut dengan adzan adalah iblis 
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,228,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa
"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",0,0,122, rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja kpk alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya 
"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'",0,0,62,saat orang orang saling menuding antek aseng aseng sesungguhnya be epuk tangan 
USER Nah loh katanya anti aseng',0,0,127, nah loh katanya anti aseng 
"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.",0,0,273,selamat pak semoga bisa terus berkiprah bahkan tingkat nasional 
#AsyikM3nang saya sih ikut ulama saja,0,0,45, asyikm3nang saya sih ikut ulama saja
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,0,0,119, yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan termasuk pt who tambang bouksid yg viral saat pilpres dulu ndan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora
USER QUE BOM SBBSNSN',0,0,35, que bom sbbsnsn 
"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003",0,0,234, istirahat aja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pd di pacitan tahun 2003
"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",0,0,24,pada 1979 house select committee on assassinations hsca menemukan cacat investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya 
"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.",0,0,19, tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin 
Mari kita wujudkan Pilkada Kota Bengkulu 2018 aman dan damai.; .; .; coki_adem86 98heruâ?¦,0,0,256,mari kita wujudkan pilkada kota bengkulu 2018 aman dan damai coki adem86 98heru 
"Mau tanya serius ini sm presiden jokowi======= knp yg ada cm islam nusantara,knp tdk ada kristen nusantara,budha,hindu bahkan kong huchu nusantara???'",0,0,50,mau tanya serius ini sm presiden jokowi knp yg ada cm islam nusantara knp tdk ada kristen nusantara budha hindu bahkan kong huchu nusantara 
KORSA: Pernyataan Moeldoko Bukti Istana Takut dengan Kebangkitan Umat Islam,0,0,97,korsa pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam
Gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik / buruk :)',0,0,134,gue tau loh bukan yang dulu yang masih culun dan cemen semua orang pasti akan berubah perlahan2 entah itu baik buruk 
Pada perang salib dulu itu kerajaan di Afrika terbagi dua yakni Babilonia pemeluk kristen dan Tobaco pemeluk islam',0,0,88,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam 
"6. Pride (Yunani; \xe1\xbd\x99\xcf\x80\xce\xb5\xcf\x81\xce\xb7\xcf\x86\xce\xb1\xce\xbd\xce\xaf\xce\xb1-hyper\xc4\x93phania) keangkuhan/harga diri/kesombongan\ndikenal juga dengan sebutan hubris/vanity. harga diri yang tinggi dapat merubah manusia sombong, kesombongan membuat manusia terkutuk dimata tuhan.dan dapat membuat manusia mencintai dirinya sendiri-'",0,0,80,6 pride yunani xe1 xbd x99 xcf x80 xce xb5 xcf x81 xce xb7 xcf x86 xce xb1 xce xbd xce xaf xce xb1 hyper xc4 x93phania keangkuhan harga diri kesombongan ndikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat merubah manusia sombong kesombongan membuat manusia terkutuk dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri 
"Aku bertanya tujuan pada hati\nLogikaku yg menjawab \nTapi hati tak tenang\nAku bertanya pada logika \nHatiku sedih \nKu cari jawaban dalam wasiat yg Beliau tinggalkan. \nDan aku mulai menjadi terasing dan asing di mata manusia. \nTak apa duhai diri, ada",0,0,60,aku be anya tujuan pada hati nlogikaku yg menjawab ntapi hati tak tenang naku be anya pada logika nhatiku sedih nku cari jawaban dalam wasiat yg beliau tinggalkan ndan aku mulai menjadi terasing dan asing di mata manusia ntak apa duhai diri ada
Video ttg TKA dibuat oleh Malaysia tapi mengutip pernyataan saya di USER,0,0,216,video ttg tka dibuat oleh malaysia tapi mengutip pernyataan saya di 
PPP: Jangan Buru-buru Tolak Wacana Pilkada LewatÂ DPRD,0,0,129,ppp jangan buru buru tolak wacana pilkada lewat dprd
"Random pagi2 ada Bapak2 nyamperin ke meja kerja trus nanya ""pake bedak apa sih biar mukanya bersih, istri saya butek soalnya""\nIngin ku jawab pake air wudhu tapi ku Kristen.'",0,0,84,random pagi2 ada bapak2 nyamperin ke meja kerja trus nanya pake bedak apa sih biar mukanya bersih istri saya butek soalnya ningin ku jawab pake air wudhu tapi ku kristen 
"2019, jika SBY + PRABOWO menyatu melawan MEGA + JOKOWI , maka peristiwa 2004 akan terulang dimana PDIP yg Incumbent dikalahkan mutlak oleh SBY. ; ; Tp jk JKW+MEGA+SBY melawan PRABOWO, mk Pilpres selesai sudah. ; ; Jk 3 Poros di Pilpres, mk salah satu Lawan",0,0,27,2019 jika sby prabowo menyatu melawan mega jokowi maka peristiwa 2004 akan terulang dimana pdip yg incumbent dikalahkan mutlak oleh sby tp jk jkw mega sby melawan prabowo mk pilpres selesai sudah jk 3 poros di pilpres mk salah satu lawan
bebal...,0,0,67,bebal 
"5. Yang terakhir karena Indonesia negara dengan populasi muslim terbesar di dunia, yang mana Islam saat ini merupakan musuh barat &amp; Komunis karena dapat menghambat agenda dan kepentingan mereka.(Obviously)'",0,0,108,5 yang terakhir karena indonesia negara dengan populasi muslim terbesar di dunia yang mana islam saat ini merupakan musuh barat amp komunis karena dapat menghambat agenda dan kepentingan mereka obviously 
"tapi banu banu Yahudi itu tentu beda dgn banu banu Kristen Syriac. salah satu perbedaan ad banu Yahudi tetep pake ""eloah/ elohim/ yahwe/"" sedangkan Syriac sudah pake ""alah/ allah""'",0,0,15,tapi banu banu yahudi itu tentu beda dgn banu banu kristen syriac salah satu perbedaan ad banu yahudi tetep pake eloah elohim yahwe sedangkan syriac sudah pake alah allah 
"Giat Bhabinkamtibmas Brigpol Mbs Sihombing pd hari ini, Rabu 11 April 2018 melaks sambang desa dan tatap muka sekaligus monitoring Kamtibmas menuju Pilkada 2018 di Desa Lobusiregar I, tepatnya dirumah Rudi Panjaitan, Helman Siahaan dan Hotman Siahaan",0,0,29,giat bhabinkamtibmas brigpol mbs sihombing pd hari ini rabu 11 april 2018 melaks sambang desa dan tatap muka sekaligus monitoring kamtibmas menuju pilkada 2018 di desa lobusiregar i tepatnya dirumah rudi panjaitan helman siahaan dan hotman siahaan
USER Jgn lupa juga kang.... Umat katolik dan minorutas lainnya diperhatika. Gubernur untuk semua golongan bukan satu golongan.',0,0,84, jgn lupa juga kang umat katolik dan minorutas lainnya diperhatika gubernur untuk semua golongan bukan satu golongan 
"Selamat Hari Kartini, setiap kali selalu dirayakan, lalu apa maknanya kali ini ð?¤?",0,0,43,selamat hari ka ini setiap kali selalu dirayakan lalu apa maknanya kali ini 
"Foto memang bisu ,tpi memiliki banyak arti yg sush diartikan,sma seperti kamu susah diartikan,mau putus atau lanjut ?'",0,0,240,foto memang bisu tpi memiliki banyak a i yg sush dia ikan sma sepe i kamu susah dia ikan mau putus atau lanjut 
USER wakakakaka aku sudah mengalaminya \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 tetiba muncul grub wa a.n Bani Abd Hadi a.k.a mbahku dan seketika aku mek kenal beberapa orang saja \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\,0,0,70, wakakakaka aku sudah mengalaminya xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 tetiba muncul grub wa a n bani abd hadi a k a mbahku dan seketika aku mek kenal beberapa orang saja xf0 x9f xa4 xa3 xf0 x9f xa4 xa3 xf0 x9f xa4 
"abam pres badar n nuqaba pling boekkkð???, dia ni hebat dlm bidang agama, x tkut nk tgur member sndiri, n selalu wat lawak hambar (yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu)ð???,",0,0,60,abam pres badar n nuqaba pling boekkk dia ni hebat dlm bidang agama x tkut nk tgur member sndiri n selalu wat lawak hambar yg pling aku ingt smpai skrg lawak dia klau org ckp jom gerak skrg dia akn gerakkn badan dia yg chubby tu 
â??Seorang anak Pekan telah mengilhamkan Dasar Ekonomi Baru (DEB) dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar. Beliau adalah Allahyarham Tun Abdul Razakâ?? - DS USER #MalaysiaMemilih #HogohUndi,0,0,23, seorang anak pekan telah mengilhamkan dasar ekonomi baru deb dan menjadi penggerak utama kepada kemajuan ekonomi luar bandar beliau adalah allahyarham tun abdul razak ds malaysiamemilih hogohundi
"USER USER Hahaha sialaaan nih si USER,; ; ternyata klo lg laper, ; presiden juga mau disikat sama doið???ð??½; ;",0,0,77, hahaha sialaaan nih si ternyata klo lg laper presiden juga mau disikat sama doi 
"USER iya, tdi cacad'",0,0,182, iya tdi cacad 
"USER Aku pernah sempat baca ttg Harun Yahya ini yg 'membelot' ke kubu Yahudi dgn Freemasonry nya...kdg suka ga percaya...""",0,0,28, aku pernah sempat baca ttg harun yahya ini yg membelot ke kubu yahudi dgn freemasonry nya kdg suka ga percaya 
Kita Maju Bersama Ulama ; Kita Bergerak Bersama Semua Tokoh Agama untuk Indonesia; #NderekGusMus,0,0,126,kita maju bersama ulama kita bergerak bersama semua tokoh agama untuk indonesia nderekgusmus
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,0,0,66, 
"#MukidiKepedean ; Pertanyaan mudah ya..; Dijawab yg keras , tapi Saya minta dijawab yg keras , siapa nama Saya ?",0,0,87, mukidikepedean pe anyaan mudah ya dijawab yg keras tapi saya minta dijawab yg keras siapa nama saya 
Body Lufra/ scrub dg bhn dasar lidah buaya utk mlembabkn kulit &amp; lbh bcahaya info: 087812026394 #BMI',0,0,77,body lufra scrub dg bhn dasar lidah buaya utk mlembabkn kulit amp lbh bcahaya info 087812026394 bmi 
USER Tak punya cacat di masa lalu krn blum bermasa lalu',0,0,237, tak punya cacat di masa lalu krn blum bermasa lalu 
USER USER jangan2 penganut bumi datar juga? \xf0\x9f\x98\x9d\nsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka.',0,0,26, jangan2 penganut bumi datar juga xf0 x9f x98 x9d nsoalnya teori bumi bulat kan dari orang asing yg notabane musuh mereka 
Munas Alim Ulama PPP di semarang. menghasilkan lima rekomendasi syarat dan kriteria-kriteria bagi Calon Wakil Presiden yang akan mendampingi Bpk Jokowi di 2019 mendatang. #Romahurmuziy,0,0,50,munas alim ulama ppp di semarang menghasilkan lima rekomendasi syarat dan kriteria kriteria bagi calon wakil presiden yang akan mendampingi bpk jokowi di 2019 mendatang romahurmuziy
USER Luar biasa pencerahan nya.. Saya merasa gagal sebagai anak ekonomi.. Wkwk,0,0,45, luar biasa pencerahan nya saya merasa gagal sebagai anak ekonomi wkwk
"USER USER USER USER Kafan berasal dari budaya yahudi, kenapa umat Islam mengklaim ?'",0,0,40, kafan berasal dari budaya yahudi kenapa umat islam mengklaim 
USER USER itu tanda nya mau pilkada n pilpres,0,0,39, itu tanda nya mau pilkada n pilpres
Misi4: Membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya Jawa Barat yang luhur #No3JabarAsyik #Asyikm3nang,0,0,45,misi4 membangun masyarakat yang gotong royong toleran dan harmoni selaras nilai budaya jawa barat yang luhur no3jabarasyik asyikm3nang
Ketabahan pasangan En Taufiq dan Puan Nurliyana yang wajar dicontohi.. jom kita beri sumbangan untuk meringankan beban pasangan ini... come on twitter do your things! ; ; BSN - 0510541000096745 ; Bank Islam - 05058020145124 ; (Nurliyana bte Abdul Raziff) ;,0,0,79,ketabahan pasangan en taufiq dan puan nurliyana yang wajar dicontohi jom kita beri sumbangan untuk meringankan beban pasangan ini come on twitter do your things bsn 0510541000096745 bank islam 05058020145124 nurliyana bte abdul raziff 
"#TerangiNegeri dengan budaya , yuk pada visit ke purwokerto ,mumpung Ada even rakyat.; .; #purwokerto; #extravaganzabanyumas",0,0,213, teranginegeri dengan budaya yuk pada visit ke purwoke o mumpung ada even rakyat purwoke o extravaganzabanyumas
"Presiden itu punya dana taktis, dia bisa menggunakan untuk kepentingan rakyatnya di luar program2 pemerintah yang sudah ada. Soal program banyak sekali: ada pembangunan infrastruktur, KIP, KIS, Sertifikat tanah, perhutanan sosial, BBM 1 harga, padat karya,",0,0,62,presiden itu punya dana taktis dia bisa menggunakan untuk kepentingan rakyatnya di luar program2 pemerintah yang sudah ada soal program banyak sekali ada pembangunan infrastruktur kip kis se ifikat tanah perhutanan sosial bbm 1 harga padat karya 
USER Aamiin ya Allah :(((\nTimnya Kinan aja sampai pelatihan ular karena dia dapat di rawa-rawa. Aku dapatnya di sungai gede gt dan musuhnya buaya wkwkw',0,0,89, aamiin ya allah ntimnya kinan aja sampai pelatihan ular karena dia dapat di rawa rawa aku dapatnya di sungai gede gt dan musuhnya buaya wkwkw 
USER USER USER Segitu gentarnya dia takut terhadap Kafir...\xf0\x9f\x98\x81',0,0,93, segitu gentarnya dia takut terhadap kafir xf0 x9f x98 x81 
"USER kayak memegang, bukan mucikari'",0,0,244, kayak memegang bukan mucikari 
"Guru TK Dharma Wanita Persatuan Desa Plumbon Porong Deklarasi anti HOAX ,Ujaran kebencian, issu sarah dan mendukung pilkada damai",0,0,106,guru tk dharma wanita persatuan desa plumbon porong deklarasi anti hoax ujaran kebencian issu sarah dan mendukung pilkada damai
USER Kayaknya bisa? Atau cuma bank tertentu? Bilang aja mau jual uang asing/tukar ke rupiah',0,0,80, kayaknya bisa atau cuma bank te entu bilang aja mau jual uang asing tukar ke rupiah 
Hati-Hati Berita Pilkada yang Berbau Hoax #madiun #madiuntoday #100thmadiun #KotaKarismatikMadiun #tolakcukaiilegal; Kunjungi juga,0,0,51,hati hati berita pilkada yang berbau hoax madiun madiuntoday 100thmadiun kotakarismatikmadiun tolakcukaiilegal kunjungi juga
Mantaaap DM dekat sama Banser bang USER,0,0,174,mantaaap dm dekat sama banser bang 
