,Tweet,HS,Abusive,Neutral
167,lupa kang umat katolik minoritas perhati gubernur golong golong,0,0,1
168,cebong bilang kemarin eyel situ paksa cebong,1,1,0
169,lemah gerindra orang prabowo turun elektabilitasnya congor fadli zon surat pemberitahuan tahun durno,1,1,0
170,selamat kakak kali raya makna kali,0,0,1
171,foto bisu milik a i susah ikan sepe i susah ikan putus,0,0,1
172,wkwk alam muncul grub wa a bani abdi had a k a mbah mek kenal orang,0,0,1
173,ayah pres badar nuqaba boekkk hebat bidang agama x takut natural killer tegur member lawak hambar lawak orang jom gerak gera badan chubby,0,0,1
174,anak pekan ilham dasar ekonomi deb gerak utama maju ekonomi bandar beliau allah rahman tun abdul razak ds malaysia pilih hogohundi,0,0,1
175,haha sialaaan lapar presiden sikat,0,0,1
176,nasihat kali ugal ugalan rezim eh negeri keburu hancur ekonomi moral meni kacaoooooo,1,0,0
177,alah silit kebelet kasihan orang sayang media sosial sadar instansi kemarin cerita duuuhhh,0,1,0
178,iya cacat,0,0,1
179,2019 rakyat makan aspal beton solusi jitu kurang miskin ahli cebong 1 tukang tipu cebong goblok ketulungan plonga plongo akibat optimisme 2019 ganti presiden,1,1,0
180,baca harun yahya belot kubu yahudi freemason kadang suka percaya,0,0,1
181,maju ulama gerak tokoh agama indonesia gus mus,0,0,1
182,,0,0,1
183,mukidi percaya pe anyaan mudah keras keras nama,0,0,1
184,kemarin hujat harap dasar bani kampret,1,1,0
185,jelas fitnah sila ban apollinaris darmawan al alquran kitab sampah,1,1,0
186,monyet koloe bilang saudara ogah hidup hati comberan,1,1,0
187,body lufra scrub bahan dasar lidah buaya melembabkan kulit amp cahaya info 087812026394 body mass index,0,0,1
188,cacat masa,0,0,1
189,anut bumi datar teori bumi bulat orang asing notabene musuh,0,0,1
190,becak warga binjai sita tenda be uliskan 2019 ganti presiden partai adil sejahtera radang bukti perintah panik takut,1,0,0
191,jokowi mundur,1,0,0
192,musyawarah nasional alim ulama ppp semarang hasil rekomendasi syarat kriteria kriteria calon wakil presiden damping jokowi 2019 romahurmuziy,0,0,1
193,cerah gagal anak ekonomi wkwk,0,0,1
194,kafan asal budaya yahudi umat islam klaim,0,0,1
195,rezim kendali negara cina komunis patron tunggal rezim anti islam jokowi,1,0,0
196,tanda pilih kepala daerah pilih presiden,0,0,1
197,misi 4 bangun masyarakat gotong royong toleran harmoni selaras nilai budaya jawa barat luhur nomor jawa barat asyik asyik menang,0,0,1
198,tabah pasang taufik puan nurliyana wajar contoh jom sumbang ringan beban pasang come on twitter do your pikir badan standar nasional 0510541000096745 bank islam 05058020145124 nurliyana bosan abdul razif,0,0,1
199,tai doang belaganya langit karma idol flop tertawa keras,1,1,0
200,celeng kangen iya,0,1,0
201,rang negeri budaya yuk unjung purwoke o mumpung even rakyat purwoke o ekstra vaganza banyumas,0,0,1
202,presiden dana taktis penting rakyat program program perintah program bangun infrastruktur kip kartu indonesia sehat ifikat tanah hutan sosial bahan bakar minyak 1 harga padat karya,0,0,1
203,amin allah tim kan latih ular rawa rawa dapat sungai gede musuh buaya wkwk,0,0,1
204,maju maki mama bolot,1,1,0
205,gerombol kadal jidat gosong suka ribut gerombol salah pura pura budek dasar gerombol cingkrang,1,1,0
206,gentar takut kafir,0,0,1
207,saracen akun kritis anggap saracen aneh jokowi,1,0,0
208,bego teman najis kesal,1,1,0
209,kafir kristen ulah,1,1,0
210,tau bau bau cir sipit buluk,1,1,0
211,kayak pegang mucikari,0,0,1
212,guru tk darma wanita satu desa plumbon porong deklarasi anti hoaks ujar benci isu sarah dukung pilih kepala daerah damai,0,0,1
213,anjir seram main begitu,0,1,0
214,kayak bank te entu bilang jual uang asing tukar rupiah,0,0,1
215,onta yaman tahun depo asi,1,1,0
216,hati hati berita pilih kepala daerah bau hoaks madiun madiun today 100thmadiun kotak karismatik madiun tolak cukai ilegal kunjung,0,0,1
217,anak cocot,1,1,0
218,x88udah tahu hoaks fahri ambil berita tuyg baru tong sampah ambil screenshoot tau berita,1,0,0
219,mantap direct message baris serba bang,0,0,1
220,lebah suka bunga makan bangkai penasaran madu kayak,0,0,1
221,indonesia mundur bentuk,1,0,0
222,dongok bilang hacker haha,0,1,0
223,haha blunder cebong protein energy malnutrition pusat alas ham rakyat aceh kali coba datang perintah bilang suruh hukum islam kaffah aceh dewan wakil rakyat a,1,1,0
224,bangsat selam 1,0,1,0
225,pancing pancing urus nista bicara paham fiksi kitab suci,0,0,1
226,cebong kacung teman dungu tulang sumsum buang buang energi debat,1,1,0
227,ai korupsi sapi goblok,1,1,0
228,sinyal kontol pelihara niat login twitter doang susah open redtube setan,1,1,0
229,mata kafir wkwk,0,0,1
230,facebook anjir lupa,0,1,0
231,bilang alah kontol,0,1,0
232,nikita mirzani pakai hijab bicara cebang cebong fantasi uh ah cokorers,1,1,0
233,tatap alih arah enggan tatap pria curiga pe kali gaduh suasana angie temu pria asing tidur sofa jadi sepe i,0,0,1
234,lahir kembang gera komunis indonesia pisah organisasi nama indische sociaal democratische vereeniging,0,0,1
235,shaheizy wajah baharu calpis,0,0,1
236,serah balas fokus kerja tugas proyek seni budaya 2 telah langsung kumpul presentasi syukur nilai muas jadi proyek,0,0,1
237,bro,0,0,1
238,laku bodoh masuk kategori buat senang laku sontoloyo menganggu satu bangsa laku naif langsung bentuk intimidasi ulama laku,1,1,0
239,monyet turun mukim warga cibadak sukabumi,0,0,1
240,kotor bahagia warga cebong nge i,1,1,0
241,giveaway taplak meja menang the rich chenle,0,0,1
242,buka busuk kubu anies sandi menang berkah prabowo usaha cuci tangan,1,0,0
243,wkwk bodoh bang,0,1,0
244,kayak orang bego bro b ego,1,1,0
245,menteri lingkung hidup hutan upaya perata ekonomi tora kawasan hutan hutan sosial tribun medan,0,0,1
246,mahfud md paling allah subhanahu wa taala berang bangsa ajak buang islam,1,1,0
247,orang orang bego banyak minum amp makan kotor onta otak somplak,1,1,0
248,kuak strategi kampanye tim menang anies sandi,1,0,0
249,warga badui selesai ingat tradisi seba pendopo perintah kabupaten lebak lanjut be emu gubernur banten wahidin halim sabtu 21 4 seba baduy 2018,0,0,1
250,lembaga lembaga anti korupsi bubar sentuh kuasa gilir komisi berantas korupsi partai demokrasi indonesia juang ai politik kuasa pulang otot bubar komisi berantas korupsi,1,0,0
251,mas sudut salah agama t entu bahaya rocky cerdik susun kalimat amp inti kasih tau pnge ian fiksi ayo mas i,0,0,1
252,dukung calon presiden gagal pindah on sibuk urus asing bawa kabur uang rupiah 35 t sadar asing kabur bawa uang dukung pribumi anjing mustahil asing pribumi diam sogok mental kacung,1,1,0
253,rabun budek tulis bicara,1,1,0
254,bismillah tahan sepo kutuk,0,1,0
255,brahahahaaa cebong ahoker cebong cebok,1,1,0
256,update status bikin tugas tugas selesai jancuk jembut,0,1,0
257,muslim jabat negara be indak bangsa negara,0,0,1
258,12 ikan sembuh sakit selamat bagus laik jual pisah seleksi ikan cacat permanen pelihara sehat ikan ncc,0,0,1
259,a inya pribumi sadar lihat kecuali cina komunis misionaris abai twit usir cina indonesia,1,0,0
260,presiden tuduh rezim anti islam buat negeri buat umat,1,0,0
261,manusia bangsat,1,1,0
262,cina kenal wisata haram indonesia haha,1,0,0
263,prabowo partai adil sejahtera bib asyik anggap antek prabowo antek partai adil sejahtera hidup dramatis,1,0,0
264,sahabat salah lovren bukti beda suku agama ras halang bina hubung umat manusia beda warna sendiri jalin pe emanan terima kasih lovren salah favorit best friend forever bro,0,0,1
265,lae turun turun ideologi partai komunis indonesia lekat jiwa,0,0,1
266,kesal rokok motor iya kadang pengap tutup macet,0,0,1
267,maaf kunyuk bro enak banget rasan sebar hoaks maaf sebar hoaks maaf mesti sapu biar jera orang,1,1,0
268,halo warga jaka a wakil kepala dinas tanam modal layan padu pintu provinsi daerah khusus ibukota jaka a denny wahyu haryanto wakil wakil gubernur provinsi daerah khusus ibukota jaka a buka acara 2018 junior chamber international jci indonesia nasional event setiamelayanijaka a,0,0,1
269,2 kuat jaring gubernur tekan kuasa state of the a knowledge a bahasa rantau indonesia,0,0,1
270,pandang tuan guru bajang agama politik,0,0,1
271,sedia berengsek,1,1,0
272,susilo bambang yudhoyono presiden ri 6 khofifah emil masyarakat no 1 bagus,0,0,1
273,dungu orang ganti presiden tau mikiiiir,1,1,0
274,bokep cewek bispak bandung ngentot crot unduh full,0,1,0
275,kampret complain raga tanggap fuck,1,1,0
276,kayak jablay grand theft auto mau jemput pakai mobil,1,1,0
277,lihat memek tante,0,1,0
278,kerja musuh dakwah islam bubar hati rakyat hak lengser jokowi kodok tukang citra,1,0,0
279,ha lengkap orang bukti goblok,1,1,0
280,x9ctidak salah khalifah rasyidin x9ckami rang orang kafir x9ckalau orang orang munafik x9ctidak orang munafik,0,0,1
281,suka nete uji nasional maklum,0,1,0
282,nek lihat match chelsea menang mudah manchester united iya embuh chelsea kacrut ki prediksi,1,1,0
283,kali tentara nasional indonesia suruh urus sampah plastik,0,0,1
284,khawatir manuver politik bijak rezim moga negara satu republik indonesia cinta amin,0,0,1
285,madi arya lapor rocky gerung polisi serius kitab suci fiksi rocky nyata salah hina tunggu anut agama a anggap kitab suci,0,0,1
286,bajing tengik,0,1,0
287,pakai buruh cina rakyat anggur dasar rejim kodok,1,1,0
288,,1,1,0
289,rupiah haneul cute pacar perek on retweet,0,1,0
290,bilang anti asing asing tau wkwk,0,0,1
291,suriah sekolah radikal rakit bom pulang indonesia aman,0,0,1
292,kadang hidup kayak tai kadang berak orang beres tainya tangan iya,0,1,0
293,ih banci selotipan,1,1,0
294,haha kalah iya orang jahat kalah,1,0,0
295,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 keanekaragaman budaya suku agama sungguh kaya djarot hadap pese a rakercabsu,0,0,1
296,cinta orde meng idola prabowo amp hary tanoe,1,0,0
297,tantang buka dada eh sebut setan habis kamus lawan kenegarawanan joko widodo presiden ri 7 stresssssss hati hati kena strok serang jantung rakyat indonesia hilang badut badut politik merdeka,1,1,0
298,belah duren dungu cebong maaf,1,1,0
299,2 orang orang yahudi nasrani al kitab taurat injil kenal muhammad,0,0,1
300,bubar hati amp front bela islam,1,0,0
301,ahok verbal keras lampias lari lelaki lunak,1,0,0
302,bagi teman teman kantor langgan cadar langsung bilang awas bom hela nafas,0,0,1
303,pantat tusuk tusuk x89open bo wa 08157686707 gay berondong massage boy gayjaka a gay yogyakarta gay tangger,0,1,0
304,ancam bunuh presiden republik indonesia mas mesti lapor tegak hukum be indak ancam bunuh kepala negara,0,0,1
305,kayak orang nyosor nete,0,1,0
306,ngewe,0,1,0
307,jebur cebur,0,1,0
308,partai adil sejahtera ulang balai kota rr bicara calon presiden balai kota ganti nama balai politik,0,0,1
309,lanjut rencana seret adil ham pbb,1,0,0
310,bijak kembali barang konsumen barang rusak cacat produksi konsumen puas produk hitung 7 tanggal beli haus mini quiz hazid kunyuk ikut,0,0,1
311,kisah hidup muhammad lengkap unduh,0,0,1
312,jajah bumi indonesia hapus jajah ekonomi budaya hasil bumi cina basmi negara satu republik indonesia usir,1,0,0
313,we pipis onta cecer mari bau pesing,0,1,0
314,jadi teriak lantang pm h pro asing pas tawar bantu asing bikin posko inti kompor keluarga korban pm h bilang 15 3,0,0,1
315,mari juang jokowi lantik 2019 gentar takut mata benang leher ujung tombak perut surut langkah bisu suara,0,0,1
316,kayak monyet,0,1,0
317,survei metro televisi jokowi menang presiden hitung 45 kalah 46 salah judul maksud jokowi menang sumber zie bajrie,1,0,0
318,,0,0,1
319,cuba tegak anime karakai jozu no takagi san nak feeling feeling cinta monyet zaman sekolah throwback habis 9 10,0,0,1
320,seru pesta budaya derau kuta kakak anegara,0,0,1
321,kontak retweet banget kenal tante jilboobs sange nini nama tante dea o,0,1,0
322,debat publik ajang bukti pintar ruang akademik pamer indah orang kuat lemah egosentris nama kuat tahan l,0,0,1
323,duduk istana negara lengser jokowi salam,1,0,0
324,hebat sibuk citra baca,1,0,0
325,muslim hina iblis betina nista syariat,1,1,0
326,baby kafir buddha teroris myanmar,1,1,0
327,indonesia merdeka indonesia jajah orang cina takbir allahu akbar,1,0,0
328,amat politik hanta yudha pasang calon no 2 jawa jawa gayeng 2019 jokowi,0,0,1
329,jongos nista agama ahok sok sok ngong sara majikan tebar sara astagfirullah tobat,1,1,0
330,follow beli katolik akun prof tambah wawas bangsa terima kasih,0,0,1
331,bejat cabul kecut onta iya,1,1,0
332,wibisono citra jokowi sebar up media massa pro asing kes jokowi hasil,1,0,0
333,adi gaya kayak beruk supir tembak metromini masuk dewan wakil rakyat kampung,1,1,0
334,km mainstream mengaa ikan pintar pintar relatif gantung bawa mana penge iannya surat pemberitahuan tahun pintar meng undeeestimate orang pintar komen rejim now pintar mangkrakan janji janji doang sok making,1,0,0
335,dongok,0,1,0
336,ih masak sama sampah,0,0,1
337,pukau 2019 ganti presiden,1,0,0
338,aspirasi lina sumedang calon gubernur jabar berantas rebut laki orang resah hidup warga desa,0,0,1
339,yaelah chat urus mesum anggota dewan wakil rakyat diam nyata selingkuh tujuh pura pura budek cebong iq ratus otak,1,1,0
340,takut cina i dap bimbang paham bawa,0,0,1
341,cermin pecah kaca,0,0,1
342,langsung tag ainya berani bera i banci,1,1,0
343,awwww comel asing warna,0,0,1
344,islam jadi manusia idealis realistis hidup lupa ajak keras ajak istirahat,0,0,1
345,kristus anjing anjing jembut keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk kutang siwuk idiot keparat picek tai pejuh siwuk k,1,1,0
346,agama katolik sebut katolik nusantara agama kristen protestan sebut kristen protestan nusantara agama hindu sebut hindu nusantara agama buddha sebut buddha nusantara,0,0,1
347,3 bas teknologi digital presiden sistem jalan langsung ramah guna ratas,0,0,1
348,ah asa hibur cebong bahagia presiden cebong tol cebong germo,1,1,0
349,resah presiden hidup penuh drama citra main film televisi joko judul,1,0,0
350,agama kristen golong darah b nasal san fernando valley,0,0,1
351,buddha bunuh muslim myanmar,1,0,0
352,yahudi bangkai jerman ibadah,1,1,0
353,papa ketua fraksi rakyat setya novanto dewan wakil rakyat pecat ketua dewan wakil rakyat pecat dewan wakil rakyat,1,0,0
354,cina,0,0,1
355,hoaks kodok biawak roket sekop bangsat karbitan munafik 2019 ganti presiden 2019 presiden 2019 tenggelam jokowi sungai siak,1,1,0
356,ribut komunis bla bla emoh baca baca niat agitasi serang perintah pakai cari simpatisan,1,0,0
357,10 presiden jokowi harap skema kerja bangun bangun,0,0,1
358,pilih langsung biar pilih presiden dewan wakil rakyat calon presiden biar kayak kucing karung bikin mekanisme oke calon presiden tentu gubernur prestasi maju calon presiden gubernur,0,0,1
